"SNOConversation","I0","I1","I2","GbidItem","Noname1","Noname2","SNOQuestCurrent","I3","SNOQuestAssigned","SNOQuestActive","SNOQuestComplete","SNOQuestRange","SNOLevelArea","Id","Act"
"17948","0","6","3","-1","","","-1","-2","-1","-1","-1","-1","-1","1","100"
"17949","0","7","3","-1","","","-1","-2","-1","-1","-1","-1","-1","2","100"
"17961","0","2","3","-1","","","-1","1","-1","30845","-1","-1","-1","3","100"
"17971","1","11","3","-1","","","-1","-2","-1","87614","-1","-1","-1","4","100"
"134423","5","11","3","-1","","","-1","-1","-1","101756","-1","-1","-1","5","200"
"80681","1","13","3","-1","","","-1","-1","-1","72061","-1","-1","-1","6","0"
"17983","0","9","3","-1","","","-1","1","-1","62458","-1","-1","-1","7","100"
"17984","0","9","3","-1","","","-1","-1","-1","30848","-1","-1","-1","8","100"
"143386","0","13","3","-1","","","-1","-2","-1","-1","-1","-1","-1","9","0"
"143392","3","10","3","-1","","","-1","35","-1","72221","-1","-1","-1","10","0"
"18012","1","13","3","-1","","","-1","-1","-1","30850","-1","-1","-1","11","100"
"18020","1","13","3","-1","","","-1","15","-1","30850","-1","-1","-1","12","100"
"170290","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","13","100"
"18023","1","13","3","-1","","","-1","12","-1","30850","-1","-1","-1","14","100"
"170299","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","15","100"
"18037","0","13","3","-1","","","-1","3","-1","30857","-1","-1","-1","16","100"
"18038","0","13","3","-1","","","-1","2","-1","30857","-1","-1","-1","17","100"
"18039","1","11","3","-1","","","-1","0","-1","30857","-1","-1","-1","18","100"
"215107","0","13","3","-1","","","-1","44","-1","113910","-1","-1","-1","19","300"
"143474","0","9","3","-1","","","-1","-1","-1","80322","-1","-1","-1","20","100"
"179303","0","10","3","-1","","","-1","21","-1","72095","-1","-1","-1","21","0"
"170349","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","22","100"
"18080","0","2","3","-1","","","-1","54","-1","80322","-1","-1","-1","23","100"
"143482","0","9","3","-1","","","-1","-1","-1","80322","-1","-1","-1","24","100"
"170373","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","25","100"
"18110","0","11","3","-1","","","-1","-2","-1","-1","-1","-1","-1","26","-1"
"179339","0","9","3","-1","","","-1","0","-1","-1","-1","-1","-1","27","0"
"143580","0","9","3","-1","","","-1","58","-1","93396","-1","-1","-1","28","100"
"143587","0","9","3","-1","","","-1","58","-1","93396","-1","-1","-1","29","100"
"143592","0","9","3","-1","","","-1","58","-1","93396","-1","-1","-1","30","100"
"143597","0","9","3","-1","","","-1","58","-1","93396","-1","-1","-1","31","100"
"143611","0","9","3","-1","","","-1","1","-1","73774","-1","-1","-1","32","0"
"143614","0","9","3","-1","","","-1","0","-1","57331","-1","-1","-1","33","100"
"170486","1","13","3","-1","","","-1","4","-1","101756","-1","-1","-1","34","200"
"143627","0","9","3","-1","","","-1","1","-1","73774","-1","-1","-1","35","0"
"143630","0","9","3","-1","","","-1","0","-1","57331","-1","-1","-1","36","100"
"143637","0","9","3","-1","","","-1","0","-1","57331","-1","-1","-1","37","100"
"143649","0","9","3","-1","","","-1","-1","-1","57331","-1","-1","-1","38","100"
"143659","0","9","3","-1","","","-1","1","-1","78264","-1","-1","-1","39","100"
"215318","0","13","3","-1","","","-1","-1","-1","101750","-1","-1","-1","40","200"
"143669","0","9","3","-1","","","-1","1","-1","78264","-1","-1","-1","41","100"
"80978","0","9","3","-1","","","-1","46","-1","93396","-1","-1","-1","42","100"
"143680","0","9","3","-1","","","-1","1","-1","78264","-1","-1","-1","43","100"
"134723","0","13","3","-1","","","-1","-1","-1","101750","-1","-1","-1","44","200"
"80984","0","9","3","-1","","","-1","46","-1","93396","-1","-1","-1","45","100"
"143691","0","9","3","-1","","","-1","1","-1","78264","-1","-1","-1","46","100"
"143701","0","9","3","-1","","","-1","1","-1","78266","-1","-1","-1","47","100"
"143709","0","9","3","-1","","","-1","1","-1","78266","-1","-1","-1","48","100"
"143713","0","9","3","-1","","","-1","1","-1","78266","-1","-1","-1","49","100"
"143717","0","9","3","-1","","","-1","1","-1","78266","-1","-1","-1","50","100"
"143722","0","9","3","-1","","","-1","47","-1","57335","-1","-1","-1","51","100"
"143727","0","9","3","-1","","","-1","47","-1","57335","-1","-1","-1","52","100"
"143731","0","9","3","-1","","","-1","47","-1","57335","-1","-1","-1","53","100"
"143735","0","9","3","-1","","","-1","47","-1","57335","-1","-1","-1","54","100"
"143739","0","9","3","-1","","","-1","25","-1","57337","-1","-1","-1","55","100"
"170611","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","56","200"
"143743","0","9","3","-1","","","-1","25","-1","57337","-1","-1","-1","57","100"
"143747","0","9","3","-1","","","-1","25","-1","57337","-1","-1","-1","58","100"
"143751","0","9","3","-1","","","-1","25","-1","57337","-1","-1","-1","59","100"
"170625","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","60","200"
"134884","0","7","3","-1","","","-1","-2","-1","-1","-1","-1","-1","61","100"
"134886","0","7","3","-1","","","-1","-2","-1","-1","-1","-1","-1","62","100"
"81171","0","7","3","-1","","","-1","13","-1","57331","-1","-1","-1","63","100"
"81221","0","10","3","-1","","","-1","-1","-1","80322","-1","-1","-1","64","100"
"161840","5","9","3","-1","","","-1","0","-1","-1","-1","-1","-1","65","100"
"81314","0","9","3","-1","","","-1","46","-1","93396","-1","-1","-1","66","100"
"81351","1","13","3","-1","","","-1","48","-1","93396","-1","-1","-1","67","100"
"72402","0","11","3","-1","","","-1","32","-1","72095","-1","-1","-1","68","0"
"81365","0","9","3","-1","","","-1","5","-1","74128","-1","-1","-1","69","100"
"81368","0","9","3","-1","","","-1","5","-1","74128","-1","-1","-1","70","100"
"81371","0","9","3","-1","","","-1","5","-1","74128","-1","-1","-1","71","100"
"72416","0","10","3","-1","","","-1","46","-1","87700","-1","-1","-1","72","0"
"108256","1","13","3","-1","","","-1","71","-1","72738","-1","-1","-1","73","0"
"90424","0","13","3","-1","","","-1","54","-1","80322","-1","-1","-1","74","100"
"180063","1","13","3","-1","","","-1","2","-1","78266","-1","-1","-1","75","100"
"117371","1","13","3","-1","","","-1","52","-1","72061","-1","-1","-1","76","0"
"81573","0","10","3","-1","","","-1","-1","-1","78266","-1","-1","-1","77","100"
"81576","1","13","3","-1","","","-1","26","-1","72738","-1","-1","-1","78","0"
"81580","3","10","3","-1","","","-1","26","-1","72738","-1","-1","-1","79","0"
"144356","5","9","3","-1","","","-1","-2","-1","-1","-1","-1","-1","80","100"
"144358","0","9","3","-1","","","-1","-2","-1","-1","-1","-1","-1","81","100"
"144370","0","10","3","-1","","","-1","-1","-1","80322","-1","-1","-1","82","100"
"135414","0","10","3","-1","","","-1","2","-1","72801","-1","-1","-1","83","0"
"81674","1","13","3","-1","","","-1","15","-1","78264","-1","-1","-1","84","100"
"144392","0","10","3","-1","","","-1","58","-1","93396","-1","-1","-1","85","100"
"1080","1","13","3","-1","","","-1","-2","-1","-1","-1","-1","-1","86","-1"
"144394","0","10","3","-1","","","-1","-1","-1","78264","-1","-1","-1","87","100"
"144397","0","10","3","-1","","","-1","25","-1","57337","-1","-1","-1","88","100"
"1099","0","7","3","-1","","","-1","3","-1","30857","-1","-1","-1","89","100"
"81735","0","10","3","-1","","","-1","-1","-1","57331","-1","-1","-1","90","100"
"207140","3","10","3","-1","","","-1","17","-1","114901","-1","-1","-1","91","300"
"207144","0","10","3","-1","","","-1","17","-1","114901","-1","-1","-1","92","300"
"207154","0","10","3","-1","","","-1","17","-1","114901","-1","-1","-1","93","300"
"108631","1","13","3","-1","","","-1","18","-1","93684","-1","-1","-1","94","200"
