"Name","I0","TagMap_","Id"
"Group","9","True","1"
"Bridle Entrance","1","True","2"
"Add Spoke","4","True","3"
"Add Hub","3","True","4"
"Waypoint","0","True","5"
"Add Spoke","4","True","6"
"Add Exit","2","True","7"
"Group","9","True","8"
"Add Exit","2","True","9"
"Add Spoke","4","True","10"
"Select","10","True","11"
"Waypoint","0","True","12"
"Bridle Hole NE","0","True","13"
"Bridle Hole SE","0","True","14"
"Add Spoke","4","True","15"
"Add Entrance","1","True","16"
"Add Spoke","4","True","17"
"Add Entrance","1","True","18"
"Add Rooms","0","True","19"
"Group","9","True","20"
"Add Entrance","1","True","21"
"Add Hub","3","True","22"
"Crypt Exits","10","True","23"
"Add Rooms","0","True","24"
"Select","10","True","25"
"Waypoint","0","True","26"
"Crypt E Exit","2","True","27"
"Crypt W Exit","2","True","28"
"Crypt S Exit","2","True","29"
"Bridle Hole NE","0","True","30"
"Bridle Hole SE","0","True","31"
"Group","9","True","32"
"Group","9","True","33"
"Select","10","True","34"
"Group","9","True","35"
"Group","9","True","36"
"Add Hub","3","True","37"
"Add Entrance+Exit","11","True","38"
"Fill Hub","14","True","39"
"Group","9","True","40"
"Add Rooms","0","True","41"
"1000 Undead Room","0","True","42"
"Add Exit","2","True","43"
"Add Spoke","4","True","44"
"Add Entrance","1","True","45"
"Add Rooms","0","True","46"
"Group","9","True","47"
"Add Rooms","0","True","48"
"Add Entrance+Exit","11","True","49"
"Group","9","True","50"
"Add Entrance","1","True","51"
"Add Rooms","0","True","52"
"Event Room","0","True","53"
"Group","9","True","54"
"Add Rooms","0","True","55"
"Add Entrance+Exit","11","True","56"
"Add Rooms","0","True","57"
"Add Entrance","1","True","58"
"Add Spoke","4","True","59"
"Add Rooms","0","True","60"
"Add Spoke","4","True","61"
"Add Exit","2","True","62"
"Add Rooms","0","True","63"
"Base Group","9","True","64"
"Add Entrance","1","True","65"
"Templar Intro","0","True","66"
"Bridle Hole","0","True","67"
"Add Rooms","0","True","68"
"Add Rooms","0","True","69"
"Add Exit","2","True","70"
"Add Rooms","0","True","71"
"Add Exit","2","True","72"
"Select","10","True","73"
"Group","9","True","74"
"Add Hub","3","True","75"
"Add Entrance+Exit","11","True","76"
"Add Rooms","0","True","77"
"Add Rooms","0","True","78"
"Group","9","True","79"
"Add Hub","3","True","80"
"Add Rooms","0","True","81"
"Add Entrance+Exit","11","True","82"
"Group","9","True","83"
"Add Hub","3","True","84"
"Add Spoke","4","True","85"
"Add Spoke","4","True","86"
"Add Spoke","4","True","87"
"Add Spoke","4","True","88"
"Group","9","True","89"
"Family Tree","0","True","90"
"Add Entrance","1","True","91"
"Add Exit","2","True","92"
"Group","9","True","93"
"Select T- intersection","10","True","94"
"Add Rooms","0","True","95"
"Add Entrance+Exit","11","True","96"
"Add Rooms","0","True","97"
"Add Rooms","0","True","98"
"Add Rooms","0","True","99"
"Add Rooms","0","True","100"
"Group","9","True","101"
"Group","9","True","102"
"Group","9","True","103"
