"CommandCount","TagMap_","Id","LevelArea","Weather","PrevWorld","PrevLevelArea","PrevStartingPoint","NextWorld","NextLevelArea","NextStartingPoint","ChunkSize"
"7","True","1","19780","50535","-1","-1","-1","60713","60714","172","240"
"12","True","2","19783","50535","60713","60714","15","105406","87907","172","240"
"12","True","3","19785","50535","105406","87907","171","50585","19787","172","240"
"15","True","4","83264","50542","71150","19938","14","-1","-1","-1","240"
"3","True","5","83265","50542","71150","19938","14","-1","-1","-1","240"
"4","True","6","80116","50535","71150","19940","139","-1","-1","-1","240"
"10","True","7","102300","50542","71150","19952","176","165797","165798","172","240"
"5","True","9","135237","86470","71150","19954","246","-1","-1","-1","240"
"4","True","10","154588","50542","-1","-1","-1","60600","60601","15","240"
"6","True","11","161964","-1","-1","-1","-1","-1","-1","-1","240"
"4","True","12","165798","50542","102299","102300","171","-1","-1","-1","240"
"8","True","13","194232","86470","135193","135237","171","194231","194232","172","240"
"1","True","14","78572","50470","72882","119870","29","182976","62726","30","240"
"1","True","15","75436","50478","172909","92945","327","75434","93103","172","240"
"1","True","16","92960","75198","172909","92945","171","93099","93173","172","240"
"1","True","17","119893","136143","71150","19952","238","-1","-1","-1","240"
"1","True","18","19774","50467","75049","19943","171","58982","19775","172","240"
"1","True","19","19775","50467","2826","19774","171","87707","87832","172","240"
"1","True","20","19776","50467","94676","94672","171","78839","90881","191","240"
"1","True","21","211479","206287","71150","91324","331","-1","-1","-1","240"
"1","True","22","146838","130664","174434","111109","262","70885","175367","262","120"
"1","True","23","19791","50473","86594","210451","149","-1","-1","-1","120"
"1","True","24","123182","199766","70885","53834","243","-1","-1","-1","200"
"1","True","25","82372","86469","71150","19952","52","82371","82373","172","240"
"1","True","26","82373","86469","82370","82372","171","-1","-1","-1","240"
"1","True","27","81165","86468","71150","19952","176","81164","81175","172","240"
"1","True","28","81175","86468","81163","81165","171","-1","-1","-1","240"
"1","True","29","82566","86470","71150","19940","190","82511","82567","172","240"
"1","True","30","82567","86470","82502","82566","171","-1","-1","-1","240"
"1","True","31","135952","86468","71150","1199","245","-1","-1","-1","240"
"1","True","32","159897","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","33","159898","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","34","159899","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","35","162791","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","36","82326","50535","71150","19940","188","82313","82327","172","240"
"1","True","37","82327","50535","82076","82326","171","-1","-1","-1","240"
"1","True","38","196225","59133","-1","-1","-1","-1","-1","-1","240"
"1","True","39","159588","59133","70885","19839","62","220804","220805","172","240"
"1","True","40","19795","50475","70885","19839","66","70885","19839","66","200"
"1","True","41","220805","59133","50589","159588","171","-1","-1","-1","240"
"1","True","42","57449","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","43","62778","59488","59486","62752","90","59486","63987","92","120"
"1","True","44","62780","59488","59486","62752","87","59486","63988","93","120"
"1","True","45","158384","59488","70885","57425","267","-1","-1","-1","120"
"1","True","46","192689","59488","192687","192694","95","70885","175330","214","120"
"1","True","47","158594","59488","70885","57425","233","-1","-1","-1","120"
"1","True","48","218969","59133","111666","111667","171","-1","-1","-1","240"
"1","True","49","111667","59133","70885","57432","231","218970","218969","172","240"
"1","True","50","204629","59133","70885","53834","242","204674","204675","172","240"
"1","True","52","169494","132684","70885","19839","240","194238","194239","172","240"
"1","True","53","194239","132684","169477","169494","171","-1","-1","-1","240"
"1","True","54","80592","75269","50613","19800","145","50613","19800","145","200"
"1","True","55","61632","50475","70885","57425","166","-1","-1","-1","200"
"1","True","56","222577","50475","50594","19801","1","-1","-1","-1","200"
"1","True","57","19801","50475","86594","19839","63","222575","222577","172","200"
"1","True","58","19794","50475","70885","53834","63","168196","168200","172","200"
"1","True","59","19797","50476","50613","19800","143","50613","19800","143","200"
"1","True","60","19798","50476","50613","19800","144","50613","19800","144","200"
"1","True","61","19799","50476","50613","19800","145","50613","19800","145","200"
"1","True","62","168200","50476","70885","53834","63","70885","53834","63","200"
"1","True","63","62575","132684","70885","57425","239","194240","194242","172","240"
"1","True","64","62574","132684","-1","-1","-1","161011","161105","172","240"
"1","True","65","161105","132684","62569","62574","171","-1","-1","-1","240"
"1","True","66","194242","132684","62568","62575","171","-1","-1","-1","240"
"1","True","67","218968","59133","111670","111671","171","-1","-1","-1","240"
"1","True","68","111671","59133","-1","-1","-1","218967","111671","172","240"
"1","True","69","80791","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","70","119653","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","71","119656","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","72","85202","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","73","80792","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","74","119305","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","75","86080","192803","-1","-1","-1","-1","-1","-1","240"
"1","True","76","139274","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","77","191078","188757","-1","-1","-1","221689","221703","172","240"
"1","True","78","189345","188757","-1","-1","-1","221688","221702","172","240"
"1","True","79","221702","188757","189259","189345","171","-1","-1","-1","240"
"1","True","80","221703","188757","189910","191078","171","-1","-1","-1","240"
"1","True","81","136448","50478","75434","93103","171","103209","111232","172","240"
"1","True","82","174666","50478","-1","-1","-1","221748","221752","172","240"
"1","True","83","182258","50478","-1","-1","-1","221749","221753","172","240"
"1","True","84","182274","50478","-1","-1","-1","221750","221754","172","240"
"1","True","85","182502","50478","-1","-1","-1","221751","221761","172","240"
"1","True","86","221752","50478","174516","174666","171","-1","-1","-1","240"
"1","True","87","221753","50478","174555","182258","171","-1","-1","-1","240"
"1","True","88","221754","50478","174560","182274","171","-1","-1","-1","240"
"1","True","89","221761","50478","174665","182502","171","-1","-1","-1","240"
"1","True","90","93103","50478","93104","75436","171","136415","136448","172","240"
"1","True","91","220905","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","92","220904","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","93","197623","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","94","93173","75198","-1","-1","-1","-1","-1","-1","240"
"1","True","95","109516","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","96","109526","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","97","109531","-1","-1","-1","-1","-1","-1","-1","240"
"1","True","98","109538","151753","198281","198564","171","129305","109540","172","240"
"1","True","99","109540","199586","121579","109538","171","214956","215396","172","240"
"1","True","100","109542","152240","214956","215396","171","210725","210728","172","240"
"1","True","101","210728","214225","129306","109542","171","205399","205434","172","240"
"1","True","102","261758","314637","304235","270011","466","338891","338956","172","240"
"1","True","103","338946","264469","338891","338956","171","339151","339158","172","120"
"1","True","104","263493","291340","304235","270011","442","308446","308487","172","240"
"1","True","105","338602","328505","-1","-1","-1","-1","-1","-1","120"
"1","True","106","271234","269448","-1","-1","-1","271235","360494","172","240"
"1","True","107","360494","328563","271233","271234","171","-1","-1","-1","240"
"1","True","108","283567","280673","283552","283553","171","-1","-1","-1","240"
"1","True","109","283553","280673","267412","258142","171","283566","283567","172","240"
"1","True","110","245964","300099","282460","282487","171","-1","-1","-1","120"
"1","True","111","283553","280673","267412","258142","171","283566","283567","172","240"
"1","True","112","283553","280673","267412","258142","171","283566","283567","172","240"
"1","True","113","283553","280673","267412","258142","171","283566","283567","172","240"
