"DRLGParamsId","TagMapEntryId","Key"
"1","3484","852016"
"1","3485","851970"
"1","3486","851971"
"1","3487","852009"
"2","3856","852016"
"2","3857","851970"
"2","3858","851971"
"2","3859","852009"
"3","4223","852016"
"3","4224","851970"
"3","4225","851971"
"3","4226","852009"
"4","4592","852016"
"4","4593","851970"
"4","4594","851971"
"4","4595","852009"
"5","4862","852016"
"5","4863","851970"
"5","4864","851971"
"5","4865","852009"
"6","4936","852016"
"6","4937","851970"
"6","4938","851971"
"6","4939","852009"
"7","5289","852016"
"7","5290","851970"
"7","5291","851971"
"7","5292","852009"
"8","5480","852016"
"8","5481","851970"
"8","5482","851971"
"8","5483","852009"
"9","5714","852016"
"9","5715","851970"
"9","5716","851971"
"9","5717","852009"
"10","5867","852016"
"10","5868","851970"
"10","5869","851971"
"10","5870","852009"
"11","5965","852016"
"11","5966","851970"
"11","5967","851971"
"11","5968","852009"
"12","6106","852016"
"12","6107","851970"
"12","6108","851971"
"12","6109","852009"
"13","6387","852016"
"13","6388","851970"
"13","6389","851971"
"13","6390","852009"
