"Name","F0","Time0","F1","Time1","F2","Time2","F3","Time3","F4","Time4","F5","Time5","F6","Time6","F7","F8","Time7","F9","F10","F11","F12","Id"
"Normal Champion","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0","0","0.35","0","0","0.35","0","0.35","5","1"
"Normal Minion","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0","0","0.35","0","0","0.35","0","0.35","5","2"
"Normal Rare","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0","0","0.35","0","0","0.35","0","0.35","5","3"
"Normal Tough","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0.35","30","0","0","0.35","0","0","0.35","0","0.35","5","4"
"Nightmare Champion","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0","0","0.5","0","0","0.5","0","0.5","5","5"
"Nightmare Minion","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0","0","0.5","0","0","0.5","0","0.5","5","6"
"Nightmare Rare","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0","0","0.5","0","0","0.5","0","0.5","5","7"
"Nightmare Tough","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0.5","30","0","0","0.5","0","0","0.5","0","0.5","5","8"
"Hell Champion","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","9"
"Hell Minion","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","10"
"Hell Rare","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","11"
"Hell Tough","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","12"
"Inferno Champion","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","13"
"Inferno Minion","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","14"
"Inferno Rare","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","15"
"Inferno Tough","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","16"
"Player","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0.65","30","0","0","0.65","0","0","0.65","0","0.65","5","17"
