"Value","Id"
"-1","1"
"0","2"
"1","3"
"1","4"
"3","5"
"3","6"
"5","7"
"-1","8"
"0","9"
"0","10"
"2","11"
"2","12"
"3","13"
"3","14"
"5","15"
"7","16"
"6","17"
"9","18"
"0","19"
"-1","20"
"0","21"
"0","22"
"0","23"
"0","24"
"0","25"
"1","26"
"3","27"
"3","28"
"3","29"
"5","30"
"5","31"
"-1","32"
"0","33"
"1","34"
"2","35"
"2","36"
"3","37"
"3","38"
"5","39"
"7","40"
"8","41"
"4","42"
"10","43"
"10","44"
"12","45"
"12","46"
"-1","47"
"0","48"
"0","49"
"-1","50"
"0","51"
"1","52"
"2","53"
"-1","54"
"0","55"
"0","56"
"0","57"
"1","58"
"1","59"
"5","60"
"3","61"
"7","62"
"7","63"
"-1","64"
"0","65"
"1","66"
"2","67"
"3","68"
"9","69"
"5","70"
"9","71"
"7","72"
"3","73"
"-1","74"
"0","75"
"0","76"
"1","77"
"1","78"
"-1","79"
"0","80"
"0","81"
"0","82"
"-1","83"
"0","84"
"1","85"
"1","86"
"1","87"
"1","88"
"-1","89"
"0","90"
"0","91"
"0","92"
"-1","93"
"0","94"
"0","95"
"0","96"
"1","97"
"1","98"
"1","99"
"1","100"
