"I0","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","Id"
"-100","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","1"
"-99","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","2"
"-98","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","3"
"-97","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","4"
"-96","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","5"
"-95","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","6"
"-94","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","7"
"-93","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","8"
"-92","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","9"
"-91","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","10"
"-90","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","11"
"-89","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","12"
"-88","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","13"
"-87","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","14"
"-86","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","15"
"-85","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","16"
"-84","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","17"
"-83","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","18"
"-82","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","19"
"-81","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","20"
"-80","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","21"
"-79","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","22"
"-78","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","23"
"-77","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","24"
"-76","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","25"
"-75","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","26"
"-74","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","27"
"-73","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","28"
"-72","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","29"
"-71","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","30"
"-70","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","31"
"-69","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","32"
"-68","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","33"
"-67","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","34"
