"Head","Torso","Feet","Hands","Shoulders","Bracers","Belt","Necessary","Id"
"4077680","1612257704","2140880151","-1533914304","365490249","-1512732138","-875944878","0","1"
"-733831369","1565454583","1612257705","2140880152","-1533914303","365490250","-1512732137","0","2"
"-875944877","-733831368","1565454584","1612257706","2140880153","-1533914302","365490251","0","3"
"-1512732136","-875944876","-733831367","1565454585","1612257707","2140880154","-1533914301","0","4"
"365490252","-1512732135","-875944875","-733831366","1565454586","1612257708","2140880155","0","5"
"-1533914300","365490253","-1512732134","-875944874","-733831365","1565454587","1612257709","0","6"
"2140880156","-1533914299","365490254","-1512732133","-875944873","-733831364","1565455671","0","7"
"1612258793","2140881240","-1533913215","365491338","-1512731049","-875943789","-733830280","0","8"
"1565455672","1612258794","2140881241","-1533913214","365491339","-1512731048","-875943788","0","9"
"-733830279","1565455673","1612258795","2140881242","-1533913213","365491340","-1512731047","0","10"
"-875943787","-733830278","1565455674","1612258796","2140881243","-1533913212","365491341","0","11"
"-1512731046","-875943786","-733830277","1565455675","1612258797","2140881244","-1533913211","0","12"
"365491342","-1512731045","-875943785","-733830276","1565456760","1612259882","2140882329","0","13"
"-1533912126","365492427","-1512729960","-875942700","-733829191","1565456761","1612259883","0","14"
"2140882330","-1533912125","365492428","-1512729959","-875942699","-733829190","1565456762","0","15"
"1612259884","2140882331","-1533912124","365492429","-1512729958","-875942698","-733829189","0","16"
"1565456763","1612259885","2140882332","-1533912123","365492430","-1512729957","-875942697","0","17"
"-733829188","1565456764","1612259886","2140882333","-1533912122","365492431","-1512729956","0","18"
"-875942696","-733829187","1565456765","1612259887","2140882334","-1533912121","365492432","0","19"
"-1512729955","-875942695","-733829186","0","0","0","0","0","20"
