"GBIdLabel","Int0","Float0","Int1","Int2","Id"
"-1","0","10","2","3","1"
"293099898","7","50","1","1","2"
"-1293966158","0","10","1","1","3"
"-1","0","10","2","5","4"
"-374343522","0","10","1","1","5"
"-374343521","0","10","1","1","6"
"1443276004","1","10","1","1","7"
"1135763183","0","10","1","1","8"
"-800603310","0","10","4","6","9"
"1504977775","0","10","1","1","10"
"929166990","0","10","1","1","11"
"-1045002772","0","10","1","1","12"
"-1045002771","0","10","1","1","13"
"29847907","0","10","1","1","14"
"-150145636","0","10","1","1","15"
"519088354","0","10","1","1","16"
"-1382803438","0","20","1","1","17"
"-1","0","80","1","1","18"
"1133634081","0","25","1","1","19"
"1133634082","0","25","1","1","20"
"-1","0","50","1","1","21"
"382644238","0","10","1","1","22"
"382644238","0","10","1","1","23"
"1443276005","1","10","1","1","24"
"3542568","0","10","1","1","25"
"88681769","1","10","1","1","26"
"3542566","1","10","1","1","27"
"118085","0","10","1","1","28"
"938317052","5","10","1","1","29"
"938317053","5","10","1","1","30"
"938317054","5","10","1","1","31"
"938317085","5","10","1","1","32"
"938317086","5","10","1","1","33"
"938317087","5","10","1","1","34"
"938317118","5","10","1","1","35"
"938317119","5","10","1","1","36"
"938317120","5","10","1","1","37"
"938317151","5","10","1","1","38"
"938317152","5","10","1","1","39"
"938317153","5","10","1","1","40"
"-710232664","1","10","0","1","41"
"-710232663","1","10","0","1","42"
"-710232662","1","10","0","1","43"
"590459850","0","1","1","1","44"
"-1","0","9","1","1","45"
"590459850","0","1","1","1","46"
"-1","0","9","1","1","47"
"-1470740879","0","30","1","1","48"
"-1266598824","0","70","1","1","49"
"-1699737835","0","10","1","1","50"
"-1699737834","0","10","1","1","51"
"-1699737833","0","10","1","1","52"
"-1699737832","0","10","1","1","53"
"2122298194","0","10","1","1","54"
"2122298195","0","10","1","1","55"
"2122298196","0","10","1","1","56"
"2122298197","0","10","1","1","57"
"-328752510","0","10","1","1","58"
"-150184929","0","90","1","1","59"
"-30349688","0","10","1","1","60"
"-1","0","10","1","1","61"
"2127749319","2","10","1","1","62"
"2127749319","2","10","1","1","63"
"153769458","1","10","1","1","64"
"3542568","0","10","1","1","65"
"-486878894","1","10","1","1","66"
"1198536415","1","10","1","1","67"
"97726468","0","10","0","1","68"
"52033576","5","10","1","1","69"
"1188037823","5","10","1","1","70"
"-328752510","0","10","1","1","71"
"1660441857","1","10","2","2","72"
"88681769","1","10","1","1","73"
"-800603310","0","10","1","2","74"
"-1562163834","0","10","1","1","75"
"-16240978","0","10","0","1","76"
"-1909800149","0","10","1","1","77"
"3542566","2","10","1","1","78"
"-887206693","1","10","1","1","79"
"-1389473670","1","10","1","1","80"
"696412275","4","10","1","1","81"
"153769458","1","10","1","1","82"
"1975884060","0","10","1","1","83"
"-150184929","0","10","1","1","84"
