"Name","LabelCondition_","LabelCondition_Enum0","LabelCondition_Int0","LabelCondition_Int1_0","LabelCondition_Int1_1","LabelCondition_Int1_2","LabelCondition_Int1_3","Int0","LabelCount","Id"
"Chandeliers","True","Always","0","0","0","0","0","0","1","1"
"","True","Always","0","0","0","0","0","-1","1","2"
"Ghoul Climbing Event (trDun_Cath_SEW_02)","True","Always","0","0","0","0","0","-1","1","3"
"Chandeliers","True","Always","0","0","0","0","0","0","1","4"
"Event: Skeleton Attack","True","Always","0","0","0","0","0","-1","2","5"
"Cath Savepoint A","True","Always","0","0","0","0","0","-1","1","6"
"","True","Always","0","0","0","0","0","-1","1","7"
"Chandeliers","True","Always","0","0","0","0","0","0","1","8"
"Event: Skeleton Mass Grave (trDun_Cath_NSEW_01)","True","Always","0","0","0","0","0","-1","1","9"
"Skeleton Treasure Ambush","True","Always","0","0","0","0","0","-1","1","10"
"Event: Shield and Archer Skeleton Attack","True","Always","0","0","0","0","0","1","2","11"
"Event: Crypt Child Ambush and Crypt Child Hallway","True","Always","0","0","0","0","0","1","2","12"
"Event - Orb Trap (trDun_Cath_SW_01)","True","Always","0","0","0","0","0","-1","1","13"
"Event: Lliogor the Crazed (trDun_Cath_EW_Entrance_01)","True","Always","0","0","0","0","0","1","2","14"
"Unburied Alcove Events (trDun_Cath_SE_01)","True","Always","0","0","0","0","0","2","3","15"
"Chandelier for the Unburied Alcove Events if A is rolled","True","LabelAlreadySet","0","1133634081","0","0","0","-1","1","16"
"Chandelier for the Unburied Alcove Events if B is rolled","True","LabelAlreadySet","0","1133634082","0","0","0","-1","1","17"
"Cath Savepoint B","True","Always","0","0","0","0","0","-1","1","18"
"","True","Always","0","0","0","0","0","-1","1","19"
"","True","Always","0","0","0","0","0","0","1","20"
"","True","Always","0","0","0","0","0","-1","2","21"
"Graveyard Broken Crown","True","Always","0","0","0","0","0","1","12","22"
"Cemetary Fissures - Climbing Zombies Locations","True","Always","0","0","0","0","0","1","3","23"
"Old Tristram: Adria's Black Mushroom","True","Always","0","0","0","0","0","1","2","24"
"Old Tristram: Griswold's Dulled Edge","True","Always","0","0","0","0","0","1","2","25"
"Old Trsitram: Fallen Tree Events","True","Always","0","0","0","0","0","1","2","26"
"Old Tristram: Cellars","True","Always","0","0","0","0","0","2","4","27"
"If Cellar 1 not rolled close the cellar","True","LabelAlreadySet","1","-1699737835","0","0","0","-1","1","28"
"If Cellar 2 not rolled close the cellar","True","LabelAlreadySet","1","-1699737834","0","0","0","-1","1","29"
"If Cellar 3 not rolled close the cellar","True","LabelAlreadySet","1","-1699737833","0","0","0","-1","1","30"
"If Cellar 4 not rolled close the cellar","True","LabelAlreadySet","1","-1699737832","0","0","0","-1","1","31"
"Vendors - Tinker","True","Always","0","0","0","0","0","1","2","32"
"Highlands - Spirit Journey Event","True","Always","0","0","0","0","0","1","2","33"
"Dead End / No Crown DRLG Reward","True","Always","0","0","0","0","0","1","1","34"
"Dead End / No Crown DRLG Reward","True","Always","0","0","0","0","0","1","1","35"
"Rare Chest","True","Always","0","0","0","0","0","-1","1","36"
"","True","Always","0","0","0","0","0","-1","1","37"
"","True","Always","0","0","0","0","0","-1","1","38"
"No Orb Trap (trDun_Cath_SW_01)","True","Always","0","0","0","0","0","-1","1","39"
"Events: Quill Demon Family","True","Always","0","0","0","0","0","-1","1","40"
"Leah's Diary","True","Always","0","0","0","0","0","-1","1","41"
"Skeleton King Broken Corwn","True","Always","0","0","0","0","0","-1","1","42"
"Vendor: Tinker","True","Always","0","0","0","0","0","1","1","43"
"TemplarIntro","True","Always","0","0","0","0","0","-1","1","44"
"Waypoint_On_Cath","True","Always","0","0","0","0","0","0","1","45"
"Chandeliers","True","Always","0","0","0","0","0","0","1","46"
"","True","Always","0","0","0","0","0","-1","1","47"
"Event: Cellar Zombie Ambush","True","Always","0","0","0","0","0","1","1","48"
"If Zombie Ambush rolls","True","LabelAlreadySet","1","-16240978","0","0","0","-1","1","49"
"","True","Always","0","0","0","0","0","-1","1","50"
"","True","Always","0","0","0","0","0","-1","0","51"
"Dropdown cave entrance in the center + normal gold","True","Always","0","0","0","0","0","-1","1","52"
"Additional gold for nightmare/hell/inferno","True","GameDifficulty","1","0","0","0","0","-1","1","53"
"Family Tree Event","True","Always","0","0","0","0","0","-1","1","54"
"Rare Chest","True","Always","0","0","0","0","0","-1","1","55"
"Vendor","True","Always","0","0","0","0","0","-1","1","56"
"Corpse House","True","Always","0","0","0","0","0","1","1","57"
