"Id","GroupType","F0","F1","I0","I1","I2","I3"
"1","Density","0.25","1","0","2","10","0"
"2","Density","0.35","1","0","1","10","0"
"3","Exactly","0.15","1","1","4","10","0"
"4","Density","0.25","1","0","1","10","0"
"5","Density","0.2","1","0","2","10","0"
"6","Exactly","0.6","0.5","1","1","10","2"
"7","Exactly","1","0.5","1","1","10","2"
"8","Exactly","0","0.5","1","1","10","2"
"9","Exactly","0","0.5","1","1","10","2"
"10","Exactly","0.6","0.75","1","1","10","1"
"11","Exactly","1","0.75","1","1","10","1"
"12","Exactly","0","0.75","1","1","10","1"
"13","Exactly","0","0.75","1","1","10","1"
"14","Exactly","1","0.33","1","1","10","0"
"15","Density","0.35","1","0","1","10","0"
"16","Density","0.25","1","0","1","10","0"
"17","Density","0.25","1","1","1","10","0"
"18","Density","0.25","1","1","1","10","0"
"19","Exactly","0","1","2","2","10","0"
"20","Density","0.2","1","0","1","10","0"
"21","Density","0.3","1","1","1","10","0"
"22","Exactly","0","0.5","1","1","10","2"
"23","Exactly","0","0.5","1","1","10","2"
"24","Exactly","0","0.5","1","1","10","2"
"25","Exactly","0","0.5","1","1","10","2"
"26","Exactly","0","0.75","1","1","10","1"
"27","Exactly","0","0.75","1","1","10","1"
"28","Exactly","0","0.75","1","1","10","1"
"29","Exactly","0","0.75","1","1","10","1"
"30","Exactly","0","0.75","1","1","10","1"
"31","Exactly","1","0.33","1","0","10","0"
"32","Density","0.35","1","0","1","10","0"
"33","Density","0.5","1","0","1","10","0"
"34","Density","0.35","1","0","2","10","0"
"35","Density","0.35","1","1","1","10","0"
"36","Density","0.35","1","1","1","10","0"
"37","Exactly","0","0.5","1","1","10","2"
"38","Exactly","0","0.5","1","1","10","2"
"39","Exactly","0.5","0.75","1","1","10","1"
"40","Exactly","0","0.75","1","1","10","1"
"41","Exactly","1","0.33","1","1","10","0"
"42","Density","0.05","1","0","2","10","0"
"43","Density","0.05","1","0","2","10","0"
"44","Density","0.1","1","0","1","10","0"
"45","Density","0.05","1","0","3","10","0"
"46","Exactly","1.5","0.5","1","1","10","2"
"47","Exactly","1","0.5","1","1","10","2"
"48","Exactly","0","0.5","1","1","10","2"
"49","Exactly","0","0.5","1","1","10","2"
"50","Exactly","0","0.5","1","1","10","2"
"51","Exactly","0","0.75","1","1","10","1"
"52","Exactly","0","0.75","1","1","10","1"
"53","Exactly","0","0.75","1","1","10","1"
"54","Exactly","0","0.75","1","1","10","1"
"55","Exactly","0","0.75","0","1","10","1"
"56","Exactly","1","0.33","1","1","10","0"
"57","Density","0.1","1","0","1","10","0"
"58","Density","0.1","1","0","1","10","0"
