"LevelAreaSpawnGroupId","LevelAreaSpawnItemId"
"1","1"
"1","2"
"2","3"
"3","4"
"3","5"
"3","6"
"3","7"
"4","8"
"5","9"
"5","10"
"6","11"
"7","12"
"8","13"
"9","14"
"10","15"
"11","16"
"12","17"
"13","18"
"14","19"
"15","20"
"16","21"
"17","22"
"18","23"
"19","24"
"19","25"
"20","26"
"21","27"
"22","28"
"23","29"
"24","30"
"25","31"
"26","32"
"27","33"
"28","34"
"29","35"
"30","36"
"32","37"
"33","38"
"34","39"
"34","40"
"35","41"
"36","42"
"37","43"
"38","44"
"39","45"
"40","46"
"41","47"
"42","48"
"42","49"
"43","50"
"43","51"
"44","52"
"45","53"
"45","54"
"45","55"
"46","56"
"47","57"
"48","58"
"49","59"
"50","60"
"51","61"
"52","62"
"53","63"
"54","64"
"55","65"
"56","66"
"57","67"
"58","68"
"59","69"
"60","70"
"61","71"
"61","72"
"62","73"
"62","74"
"63","75"
"64","76"
"65","77"
"66","78"
"67","79"
"68","80"
"69","81"
"69","82"
"70","83"
"70","84"
"71","85"
"72","86"
"73","87"
"73","88"
"74","89"
"75","90"
"76","91"
"77","92"
"78","93"
"79","94"
"80","95"
"81","96"
"82","97"
"83","98"
"84","99"
"85","100"
"86","101"
"86","102"
"87","103"
"87","104"
"88","105"
"88","106"
"89","107"
"90","108"
"91","109"
"91","110"
"92","111"
"93","112"
"94","113"
"95","114"
"95","115"
"96","116"
"97","117"
"97","118"
"98","119"
"99","120"
"100","121"
"101","122"
"101","123"
"102","124"
"103","125"
"104","126"
"105","127"
"105","128"
"106","129"
"107","130"
"108","131"
"108","132"
"109","133"
"110","134"
"110","135"
"111","136"
"112","137"
"113","138"
"114","139"
"115","140"
"116","141"
"117","142"
"117","143"
"118","144"
"119","145"
"120","146"
"120","147"
"121","148"
"122","149"
"123","150"
"124","151"
"125","152"
"126","153"
"127","154"
"128","155"
"129","156"
"129","157"
"130","158"
"131","159"
"132","160"
"132","161"
"133","162"
"134","163"
"135","164"
"136","165"
"137","166"
"138","167"
"139","168"
"140","169"
"141","170"
"142","171"
"143","172"
"144","173"
"145","174"
"146","175"
"146","176"
"147","177"
"148","178"
"149","179"
"150","180"
"151","181"
"152","182"
"153","183"
"153","184"
"154","185"
"154","186"
"154","187"
"155","188"
"156","189"
"157","190"
"158","191"
"159","192"
"160","193"
"161","194"
"162","195"
"163","196"
"164","197"
"164","198"
"165","199"
"166","200"
"167","201"
"168","202"
"169","203"
"169","204"
"170","205"
"170","206"
"170","207"
"171","208"
"171","209"
"172","210"
"172","211"
"172","212"
"173","213"
"174","214"
"175","215"
"176","216"
"177","217"
"178","218"
"179","219"
"180","220"
"181","221"
"182","222"
"183","223"
"184","224"
"185","225"
"186","226"
"187","227"
"188","228"
"188","229"
"189","230"
"189","231"
"190","232"
"190","233"
"191","234"
"192","235"
"193","236"
"193","237"
"194","238"
"195","239"
"195","240"
"196","241"
"196","242"
"197","243"
"198","244"
"199","245"
"200","246"
"201","247"
"202","248"
"203","249"
"203","250"
"204","251"
"205","252"
"206","253"
"207","254"
"208","255"
"209","256"
"210","257"
"211","258"
"212","259"
"213","260"
"214","261"
"215","262"
"216","263"
"216","264"
"217","265"
"218","266"
"219","267"
"220","268"
"221","269"
"222","270"
"223","271"
"224","272"
"225","273"
"226","274"
"227","275"
"228","276"
"229","277"
"230","278"
"231","279"
"232","280"
"233","281"
"234","282"
"235","283"
"236","284"
"237","285"
"238","286"
"239","287"
"240","288"
"241","289"
"242","290"
"243","291"
"244","292"
"245","293"
"246","294"
"247","295"
"248","296"
"249","297"
"250","298"
"251","299"
"251","300"
"252","301"
"253","302"
"254","303"
"254","304"
"254","305"
"255","306"
"256","307"
"257","308"
"258","309"
"259","310"
"260","311"
"261","312"
"262","313"
"263","314"
"264","315"
"265","316"
"266","317"
"266","318"
"267","319"
"268","320"
"269","321"
"270","322"
"271","323"
"271","324"
"272","325"
"273","326"
"274","327"
"275","328"
"276","329"
"277","330"
"278","331"
"279","332"
"280","333"
"281","334"
"282","335"
"282","336"
"283","337"
"284","338"
"285","339"
"286","340"
"286","341"
"286","342"
"287","343"
"288","344"
"289","345"
"290","346"
"291","347"
"292","348"
"293","349"
"294","350"
"295","351"
"296","352"
"297","353"
"298","354"
"299","355"
"300","356"
"300","357"
"301","358"
"302","359"
"303","360"
"304","361"
"305","362"
"306","363"
"307","364"
"308","365"
"309","366"
"309","367"
"310","368"
"310","369"
"310","370"
"311","371"
"312","372"
"313","373"
"314","374"
"315","375"
"316","376"
"317","377"
"318","378"
"319","379"
"320","380"
"321","381"
"321","382"
"322","383"
"323","384"
"324","385"
"325","386"
"326","387"
"327","388"
"328","389"
"329","390"
"330","391"
