"SNOHandle_","Id","SNOHandle_Id","SpawnType","I0","I1","I2","I3"
"True","1","6646","Normal","3","5","0","10"
"True","2","6639","Normal","1","2","0","10"
"True","3","60069","Normal","2","3","0","5"
"True","4","6653","Normal","1","2","11","25"
"True","5","6646","Normal","2","4","11","33"
"True","6","6639","Normal","1","1","0","15"
"True","7","3847","Normal","0","1","11","22"
"True","8","5235","Normal","3","5","10","35"
"True","9","6646","Normal","3","5","11","34"
"True","10","3847","Normal","1","2","0","11"
"True","11","5235","Rare","1","1","0","0"
"True","12","6639","Rare","1","1","0","0"
"True","13","6646","Rare","1","1","0","0"
"True","14","6653","Rare","1","1","0","0"
"True","15","5235","Champion","3","5","0","0"
"True","16","6639","Champion","3","3","0","0"
"True","17","6646","Champion","4","5","0","0"
"True","18","6653","Champion","3","4","0","0"
"True","19","165955","Normal","1","1","0","0"
"True","20","6059","Normal","3","5","10","10"
"True","21","6024","Normal","4","8","10","10"
"True","22","6046","Normal","3","5","10","10"
"True","23","6059","Normal","5","8","10","10"
"True","24","6035","Normal","2","3","0","0"
"True","25","6059","Normal","3","4","10","10"
"True","26","6359","Normal","1","3","25","25"
"True","27","6052","Normal","3","6","5","5"
"True","28","6059","Rare","1","1","0","0"
"True","29","6052","Rare","1","1","0","0"
"True","30","6359","Rare","1","1","0","0"
"True","31","6024","Rare","1","1","0","0"
"True","32","6046","Champion","3","4","0","0"
"True","33","6359","Champion","3","3","0","0"
"True","34","6059","Champion","3","4","0","0"
"True","35","6024","Champion","4","5","0","0"
"True","36","6052","Champion","3","4","0","0"
"True","37","6052","Normal","2","3","2","2"
"True","38","6024","Normal","5","10","5","5"
"True","39","6035","Normal","1","3","10","25"
"True","40","6059","Normal","3","4","0","25"
"True","41","6059","Normal","2","3","10","25"
"True","42","6046","Normal","3","5","10","25"
"True","43","6035","Rare","1","1","0","0"
"True","44","6042","Rare","1","1","0","0"
"True","45","6059","Champion","2","3","0","0"
"True","46","6042","Champion","3","4","0","0"
"True","47","165955","Normal","1","1","0","0"
"True","48","4290","Normal","0","1","0","0"
"True","49","4283","Normal","2","4","10","10"
"True","50","4283","Normal","2","3","10","10"
"True","51","4287","Normal","1","2","0","0"
"True","52","4154","Normal","1","1","0","0"
"True","53","4283","Normal","3","5","50","75"
"True","54","4286","Normal","2","3","25","50"
"True","55","4290","Normal","1","1","0","0"
"True","56","6500","Rare","1","1","0","0"
"True","57","4287","Rare","1","1","0","25"
"True","58","4290","Rare","1","1","0","25"
"True","59","3338","Rare","1","1","0","25"
"True","60","4283","Rare","1","1","10","10"
"True","61","6500","Champion","3","3","0","25"
"True","62","4283","Champion","3","3","0","25"
"True","63","4287","Champion","3","3","0","25"
"True","64","4290","Champion","3","3","0","25"
"True","65","3338","Champion","3","3","77","244"
"True","66","165955","Normal","1","1","0","0"
"True","67","5236","Normal","4","6","0","0"
"True","68","4157","Normal","3","5","0","0"
"True","69","4282","Normal","2","3","0","0"
"True","70","3337","Normal","1","1","0","0"
"True","71","4153","Normal","1","1","0","0"
"True","72","4157","Normal","2","3","5","5"
"True","73","4282","Normal","2","3","15","15"
"True","74","3337","Normal","1","1","0","0"
"True","75","4157","Normal","7","9","0","0"
"True","76","3337","Rare","1","1","0","0"
"True","77","4282","Rare","1","1","0","0"
"True","78","4282","Champion","2","3","0","0"
"True","79","4157","Champion","2","3","0","0"
"True","80","165955","Normal","1","1","0","0"
"True","81","5395","Normal","2","3","10","20"
"True","82","5347","Normal","1","2","0","0"
"True","83","370","Normal","1","2","3","5"
"True","84","4201","Normal","2","3","10","20"
"True","85","5395","Normal","2","3","10","20"
"True","86","4157","Normal","2","3","10","20"
"True","87","4153","Normal","1","1","0","0"
"True","88","4157","Normal","5","7","10","20"
"True","89","370","Rare","1","1","10","20"
"True","90","5395","Champion","3","4","10","20"
"True","91","5347","Champion","3","4","10","20"
"True","92","165955","Normal","1","1","0","0"
"True","93","5395","Rare","1","1","0","0"
"True","94","5347","Rare","1","1","0","0"
"True","95","370","Champion","3","4","0","9"
"True","96","5393","Normal","2","3","5","7"
"True","97","5387","Normal","1","1","0","0"
"True","98","5393","Rare","1","1","0","0"
"True","99","5393","Champion","3","4","0","0"
"True","100","104725","Normal","3","5","10","20"
"True","101","104728","Normal","1","2","10","20"
"True","102","104725","Normal","2","3","10","20"
"True","103","104728","Normal","2","2","10","20"
"True","104","104725","Normal","6","8","10","20"
"True","105","6652","Normal","2","3","10","20"
"True","106","6644","Normal","2","3","10","20"
"True","107","4982","Normal","2","4","10","20"
"True","108","6652","Normal","1","2","10","20"
"True","109","5236","Normal","1","2","0","15"
"True","110","4283","Normal","2","3","0","25"
"True","111","4283","Normal","2","3","5","15"
"True","112","4283","Rare","2","3","5","15"
"True","113","6024","Normal","3","4","8","8"
"True","114","6024","Normal","5","6","20","20"
"True","115","6035","Normal","2","3","0","0"
"True","116","6024","Normal","3","4","8","8"
"True","117","6024","Normal","5","6","20","20"
"True","118","6035","Normal","2","3","0","0"
"True","119","6024","Rare","1","1","0","0"
"True","120","6035","Rare","1","1","0","0"
