"Id","Description","I0","I1_1","I1_0","I1_2","I1_3","SpawnGroupsCount"
"1","General Population","100","1","-1","2","0","14"
"2","Population 1","100","1","-1","2","0","17"
"3","Population 1","100","1","-1","2","0","10"
"4","Population 1","100","-1","-1","-1","-1","0"
"5","General","100","-1","-1","-1","-1","0"
"6","General Population","100","1","-1","1","0","15"
"7","Population 1","100","-1","-1","-1","-1","0"
"8","General Population Kevin with Tinker","100","1","-1","2","0","12"
"9","General Population","100","1","-1","1","0","12"
"10","Population 1","100","0","-1","1","0","4"
"11","Pillage Treasure","100","0","-1","0","0","3"
"12","Population 1","100","0","-1","0","0","3"
"13","General Population","100","0","-1","1","0","3"
"14","Normal","100","0","-1","0","0","2"
"15","Rare","25","0","2","1","0","4"
"16","Champion","50","1","-1","1","0","5"
"17","Level 02B","50","1","-1","2","0","12"
"18","Population 1","100","1","-1","2","0","12"
"19","Population 2","25","2","127661920","1","0","12"
"20","Level 01","100","0","-1","1","0","11"
"21","General Population","100","1","-1","1","0","12"
"22","Population 1","100","-1","-1","-1","-1","0"
"23","General Population","0","0","-1","0","0","1"
"24","Rare","0","0","0","1","0","2"
"25","Champions","0","1","0","0","0","2"
"26","General Population","100","1","-1","1","0","12"
"27","Population 1","50","1","-1","1","0","3"
"28","Population 2","100","0","1","0","0","2"
"29","Population 3","100","0","1","1","0","2"
"30","General","100","0","-1","0","0","2"
"31","Population 1","100","0","-1","0","0","3"
"32","Population 1","100","0","-1","0","0","3"
"33","General Population","100","0","0","0","0","0"
"34","General Population","100","0","-1","0","0","4"
"35","Population 1","100","-1","-1","-1","-1","0"
"36","Population 1","100","-1","-1","-1","-1","0"
"37","General Population","100","0","-1","0","0","2"
"38","General Population","100","1","-1","1","0","10"
"39","General Population","100","1","-1","1","0","5"
"40","Normal","80","0","-1","0","0","3"
"41","Rare","20","0","0","1","0","2"
"42","Rare","50","0","0","1","0","2"
"43","Normal","100","0","2","0","0","2"
"44","Rare","50","0","0","1","0","2"
"45","Normal","100","0","2","0","0","2"
"46","Population 1","100","0","-1","0","0","2"
"47","Rare","50","0","0","1","0","2"
"48","Tomb Raiders","50","1","-1","1","-1","15"
"49","Zombies","50","1","-1","1","-1","16"
"50","Level 03","100","0","-1","0","0","4"
"51","Skeletons","100","1","-1","1","0","11"
"52","Zombies","100","1","-1","1","0","18"
"53","Critters","100","1","-1","1","0","11"
"54","trDun_Crypt_Flooded_Memories","100","0","-1","1","0","7"
"55","trDun_Crypt_Flooded_Memories","50","1","-1","1","0","11"
"56","Population 1","100","-1","-1","-1","-1","1"
"57","Zombie 1","100","0","0","0","0","0"
"58","Beserker Guards","100","1","-1","0","0","3"
"59","General","100","-1","-1","-1","-1","0"
