"LevelAreaId","LevelAreaSpawnPopulationId"
"19954","1"
"19775","2"
"19776","3"
"19787","4"
"19938","5"
"19941","6"
"19947","7"
"19952","8"
"19953","9"
"72712","10"
"87907","11"
"91133","12"
"93632","13"
"100854","14"
"100854","15"
"100854","16"
"19783","17"
"19785","18"
"19785","19"
"19780","20"
"19940","21"
"19929","22"
"62968","23"
"62968","24"
"62968","25"
"1199","26"
"19943","27"
"19943","28"
"19943","29"
"80116","30"
"91324","31"
"101351","32"
"134002","33"
"145066","34"
"156038","35"
"202446","36"
"161964","37"
"135237","38"
"194232","39"
"103202","40"
"103202","41"
"106756","42"
"106756","43"
"107051","44"
"107051","45"
"106757","46"
"106757","47"
"154588","48"
"154588","49"
"102362","50"
"83264","51"
"83265","52"
"83266","53"
"102300","54"
"165798","55"
"199391","56"
"149669","57"
"87832","58"
"83110","59"
