"I0","I1","I2","I3","I4","I5","I6","I7","I8","I9","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","I10","I11","Id"
"0","0","100","15","0","1","2","0","1","2","100","0.5","0","0","0","0","0","0","0","0","0","0","0","1"
"1","0","100","15","0","1","3","0","1","3","100","0.5","0.25","0.03","0","0","0","0","0","0.0001","0","0","0","2"
"2","0","100","15","0","1","4","0","2","4","100","0.5","0.25","0.04","0","0","0","0","0","0.0001","0","0","0","3"
"3","0","100","15","0","2","5","0","2","5","100","0.5","0.25","0.05","0","0","0","0","0","0.0001","0","0","0","4"
"4","0","100","15","0","2","6","0","3","6","100","0.5","0.25","0.06","0","0","0","0","0","0.0001","0","0","0","5"
"5","0","100","15","0","3","7","0","4","7","100","0.5","0.25","0.07","0","0","0","0","0","0.0001","0","0","0","6"
"6","0","100","15","0","3","8","0","4","8","100","0.5","0.25","0.08","0.02","0","0","0","0","0.0001","0","0","0","7"
"7","0","100","15","0","3","9","0","5","9","100","0.5","0.25","0.09","0.02","0","0","0","0","0.0001","0","0","0","8"
"8","0","100","15","0","3","10","0","5","10","100","0.5","0.25","0.1","0.02","0","0","0","0","0.0001","0","0","0","9"
"9","0","100","15","0","3","11","0","6","11","100","0.5","0.25","0.11","0.02","0","0","0","0","0.0001","0","0","0","10"
"10","0","100","15","0","3","12","0","6","12","100","0.5","0.25","0.12","0.02","0","0","0","0","0.0001","0","0","0","11"
"11","0","100","15","0","3","13","0","7","13","100","0.5","0.25","0.1237113","0.03","0","0","0","0","0.0001","0","0","0","12"
"12","0","100","15","0","3","14","0","7","14","100","0.5","0.25","0.1237113","0.03","0","0.01","0","0","0.0001","0","0","0","13"
"13","0","100","15","0","3","15","0","8","15","100","0.5","0.25","0.1145833","0.04","0","0.01","0","0","0.0001","0","0","0","14"
"14","0","100","15","0","3","15","0","8","16","100","0.5","0.25","0.1145833","0.04","0","0.01","0","0","0.0001","0","0","0","15"
"15","0","100","15","0","3","15","0","9","17","100","0.5","0.25","0.1052632","0.05","0","0.01","0","0","0.0001","0","0","0","16"
"16","0","100","15","0","4","15","0","9","18","100","0.5","0.25","0.1052632","0.05","0","0.01","0","0","0.0001","0","0","0","17"
"17","0","100","15","0","4","15","0","10","19","100","0.5","0.25","0.09574468","0.06","0","0.01","0","0","0.0001","0","0","0","18"
"18","0","100","15","0","4","15","0","10","20","100","0.5","0.25","0.09574468","0.06","0","0.01","0.01","0","0.0001","0","0","0","19"
"19","0","100","15","0","4","15","0","11","21","100","0.5","0.25","0.08602151","0.07","0","0.01","0.01","0","0.0001","0","0","0","20"
"20","0","100","15","0","4","15","0","11","22","100","0.5","0.25","0.08602151","0.07","0","0.01","0.01","0","0.0001","0","0","0","21"
