"ItemSpecifier_","ItemSpecifier_I2","ItemSpecifier_I1","ItemSpecifier_GBIdAffixes_5","ItemSpecifier_GBIdAffixes_4","ItemSpecifier_GBIdAffixes_3","ItemSpecifier_GBIdAffixes_2","ItemSpecifier_GBIdAffixes_1","ItemSpecifier_GBIdAffixes_0","ItemSpecifier_I0","ItemSpecifier_ItemGBId","Id","I0","SNOSubTreasureClass","Percentage","I1","GBIdQualityClass","I2","I3","SNOCondition","I5","I6"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","1","1","-1","1","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","2","1","-1","0.75","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","3","1","-1","0.5","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","4","1","-1","0.25","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","5","0","51017","1","0","-1923740369","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","6","0","51017","0.3","0","145781993","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","7","0","50981","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","8","0","50979","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","9","0","51019","1","100","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","10","0","99967","0.5","50","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","11","2","-1","0.02","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","12","1","120129","0.8","0","-1","46","-1","-1","2","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","13","1","120129","0.2","0","-1","46","-1","-1","4","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","14","0","51017","1","0","3646615","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","15","0","51017","1","0","1148904500","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","16","0","120129","0.8","0","1148904500","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","17","0","120129","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","18","0","120129","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","19","0","51019","0.8","0","-1","-1","-1","-1","2","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1223968557","20","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","21","0","51019","0.25","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","22","1","-1","1","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","23","1","-1","0.1","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","24","0","120129","0.8","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","25","0","51016","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","26","0","51016","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","27","0","51018","0.3","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","28","0","120129","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","29","1","50945","0","100","1438421785","25","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","30","0","50945","0","100","1438421785","-1","-1","50926","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","31","0","51071","0","100","1438421785","-1","-1","50930","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","32","0","2834","0","100","1438421785","-1","-1","50927","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","33","0","51070","0","100","1438421785","-1","-1","50929","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","34","0","51038","1","100","1438421785","-1","-1","102014","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1881837797","35","2","51016","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-536546532","36","2","-1","1","100","-1","-1","-1","85793","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-526166322","37","2","-1","1","100","-1","-1","-1","85792","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-526166321","38","2","-1","1","100","-1","-1","-1","85794","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-526166320","39","2","-1","1","100","-1","-1","-1","85795","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-526166319","40","2","-1","1","100","-1","-1","-1","85796","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","41","0","50952","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","42","0","120129","0","100","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","43","0","50950","0","40","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","44","0","50948","0","70","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","45","0","50949","0","20","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","46","1","-1","1","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","47","0","99959","0","13","-1","37","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","48","0","99960","0","10","-1","59","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","49","1","-1","0","25","-1","41","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","50","1","99961","1","30","-1","80","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","51","1","-1","1","20","-1","53","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","52","0","99967","1","20","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","53","1","-1","1","5","-1","114","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1077038245","54","1","-1","1","25","-1","84","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","55","1","-1","1","15","-1","60","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","56","0","51030","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","57","0","51023","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","58","0","51031","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","59","0","51029","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","60","0","51026","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","61","0","51028","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","62","0","51025","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","63","0","51033","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","64","0","51032","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","120887004","65","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","120887005","66","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","120887006","67","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","219361068","68","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","219361069","69","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","219361070","70","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","2069818429","71","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","2069818430","72","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","2069818431","73","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","762151703","74","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","762151704","75","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","762151705","76","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","1720398293","77","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","1720398294","78","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","1720398295","79","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","1126939275","80","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","1126939276","81","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","1126939277","82","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","83","0","51024","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","84","0","51034","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","85","0","2835","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","86","0","51027","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","1646417620","87","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1916071921","88","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","942988958","89","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","942988959","90","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","942988960","91","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1670698146","92","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1670698145","93","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1670698144","94","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1785487636","95","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1785487635","96","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1785487634","97","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1812121245","98","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1352920439","99","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","100","0","51039","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","101","0","50980","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","102","0","51044","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","103","0","51044","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","104","1","-1","0","100","-1","12","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","105","0","51017","1","0","-768798318","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","106","0","51017","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","107","0","51045","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","108","0","51044","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","109","1","-1","1","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","110","1","-1","0.8","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","111","1","-1","0.6","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","112","1","-1","0.4","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","0","0","0","0","-1","113","1","-1","0.2","0","-1","46","-1","-1","1","0"
