"Name","I0","I1","I2","I3","I4","I5","I6","I7","I8","I9","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","SNOPowerToBreakObjects","Id"
"StandardRunStop","0","1","0","0","0","0","0","0","0","0","1.5","1.25","0.75","1","0.95","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","1"
"CryptChildRunStop","0","1","0","0","0","0","0","0","0","0","0.8","0.5","0.5","0.7","0.95","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","2"
"SkeletonArcherRunStop","0","1","0","0","0","0","0","0","0","0","0","3","2","4","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","3"
"WalkBlockAndFlank","0","0","1","0","1","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","0","0","1","8","0","20","40","70","0.5","25","30","40","70","0","0","-1","4"
"Moonclan_WalkBlock","0","0","1","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","2","0.5","0","0","1","50","25","30","40","70","0.5","25","30","40","70","0","0","-1","5"
"TriuneCultistMovement","0","0","1","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","2","0","2","0","1","16","25","30","40","70","0.5","25","30","40","70","0","0","-1","6"
"TriuneCultistUniqueMovement","0","0","1","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","0","0","0","0","1","16","25","30","40","70","0.5","25","30","40","70","0","0","-1","7"
"Triune_BerserkerMovement","0","0","1","0","1","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","0","0","1","8","0","20","40","70","0.5","25","30","40","70","0","0","-1","8"
"GhostWolfMovement","0","0","0","0","1","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","9"
"ConstantRun","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","10"
"ConstantWalk","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","11"
"SkeletonRunStop","0","1","0","0","0","0","0","0","0","0","1","0.4","1.2","1","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","12"
"Fleeing","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","1.2","0","-1","13"
"WithersWalk","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","14"
"WithersRunSpeed1","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0.1","0","-1","15"
"WithersRunSpeed2","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0.5","0","-1","16"
"ThousandPounderTantrum","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","1.5","0","-1","17"
"EnhancedRunStop","0","1","0","0","0","0","0","0","0","0","0.5","0.5","0.25","1","0.6","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","18"
"ConstantWalkBreakObjects","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","202345","19"
"ConstantRunBreakObjects","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","202345","20"
"UnburiedRunBreakObjects","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","202344","21"
"BasicZigZag","0","0","0","0","0","1","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","1","30","30","10","30","0","0","-1","22"
"GhostMomSlowAccel","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0.001","-1","23"
"Sprint","0","0","0","0","0","0","1","0","0","0","0.5","0.5","1","0.5","1","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","24"
"SprintOrRun","0","0","0","0","0","0","0","1","0","0","0.5","0.5","1","0.5","0.3","1","0.5","1","0.5","1","8","25","30","40","70","0.5","25","30","40","70","0","0","-1","25"
