"Name","F0_0","F0_1","F0_2","F0_3","F0_4","F0_5","F0_6","F0_7","F0_8","F0_9","F0_10","F0_11","F0_12","F0_13","F0_14","F0_15","F0_16","F0_17","F0_18","F0_19","F0_20","F0_21","Id"
"Normal","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Champion","1","1","1","2","4","2","2","2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","2"
"RareMonster","1","1","1","2","4","2","2","2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","3"
"Unique","1","1","1","1","10","2","2","2","4","1","0","0","0","0","0","0.5","0","0","0","0","0","0","4"
"Boss","1","1","1","1","10","2","10","10","10","1","0","0","0","0","0","0.5","0","0","0","0","0","0","5"
"AlwaysInferior","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6"
"AlwaysNormal","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7"
"AlwaysSuperior","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8"
"AlwaysOneAffix","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9"
"AlwaysTwoAffix","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10"
"AlwaysThreeAffix","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11"
"AlwaysFourAffix","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","12"
"AlwaysFiveAffix","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","13"
"AlwaysSixAffix","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14"
"AlwaysUnique","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","15"
"AlwaysArtifact","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"MoreMagic","1","1","1","2.2","2","1.8","1.6","1.4","1.4","1","0","0","0","0","0","0","0","0","0","0","0","0","17"
"ShopMagic","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","18"
"ShopNormal","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","19"
"ShopSocketed","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","20"
"ShopRare","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","21"
"StandardQuest","0","0","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","22"
"Gambling","0","0","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","23"
"Imbue","0","0","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","24"
