"SNOHandle_","SNOHandle_Id","PRTransform_","PRTransform_Quaternion_","PRTransform_Quaternion_W","PRTransform_Quaternion_Vector3D_","PRTransform_Quaternion_Vector3D_X","PRTransform_Quaternion_Vector3D_Y","PRTransform_Quaternion_Vector3D_Z","PRTransform_Vector3D_","PRTransform_Vector3D_X","PRTransform_Vector3D_Y","PRTransform_Vector3D_Z","SceneSpecification_","SceneSpecification_CellZ","SceneSpecification_Cell_","SceneSpecification_Cell_X","SceneSpecification_Cell_Y","SceneSpecification_SNOLevelAreas_0","SceneSpecification_SNOLevelAreas_1","SceneSpecification_SNOLevelAreas_2","SceneSpecification_SNOLevelAreas_3","SceneSpecification_SNOPrevWorld","SceneSpecification_Unknown1","SceneSpecification_SNOPrevLevelArea","SceneSpecification_SNONextWorld","SceneSpecification_Unknown2","SceneSpecification_SNONextLevelArea","SceneSpecification_SNOMusic","SceneSpecification_SNOCombatMusic","SceneSpecification_SNOAmbient","SceneSpecification_SNOReverb","SceneSpecification_SNOWeather","SceneSpecification_SNOPresetWorld","SceneSpecification_Unknown3","SceneSpecification_Unknown4","SceneSpecification_Unknown5","SceneSpecification_ClusterID","SceneSpecification_SceneCachedValues_","SceneSpecification_SceneCachedValues_Unknown1","SceneSpecification_SceneCachedValues_Unknown2","SceneSpecification_SceneCachedValues_Unknown3","SceneSpecification_SceneCachedValues_AABB1_","SceneSpecification_SceneCachedValues_AABB1_Min_","SceneSpecification_SceneCachedValues_AABB1_Min_X","SceneSpecification_SceneCachedValues_AABB1_Min_Y","SceneSpecification_SceneCachedValues_AABB1_Min_Z","SceneSpecification_SceneCachedValues_AABB1_Max_","SceneSpecification_SceneCachedValues_AABB1_Max_X","SceneSpecification_SceneCachedValues_AABB1_Max_Y","SceneSpecification_SceneCachedValues_AABB1_Max_Z","SceneSpecification_SceneCachedValues_AABB2_","SceneSpecification_SceneCachedValues_AABB2_Min_","SceneSpecification_SceneCachedValues_AABB2_Min_X","SceneSpecification_SceneCachedValues_AABB2_Min_Y","SceneSpecification_SceneCachedValues_AABB2_Min_Z","SceneSpecification_SceneCachedValues_AABB2_Max_","SceneSpecification_SceneCachedValues_AABB2_Max_X","SceneSpecification_SceneCachedValues_AABB2_Max_Y","SceneSpecification_SceneCachedValues_AABB2_Max_Z","SceneSpecification_SceneCachedValues_Unknown4_0","SceneSpecification_SceneCachedValues_Unknown4_1","SceneSpecification_SceneCachedValues_Unknown4_2","SceneSpecification_SceneCachedValues_Unknown4_3","SceneSpecification_SceneCachedValues_Unknown5","Id"
"True","33065","True","True","1","True","0","0","0","True","0","-240","0","True","0","True","0","0","19787","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","50542","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","1"
"True","33082","True","True","1","True","0","0","0","True","480","-240","0.00003051758","True","0","True","0","0","19787","-1","-1","-1","50584","171","-1","-1","0","-1","-1","-1","-1","-1","50542","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","2"
"True","33098","True","True","1","True","0","0","0","True","-240","0","0","True","0","True","0","0","19787","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","50542","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","3"
"True","33061","True","True","1","True","0","0","0","True","-480","-720","0","True","0","True","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","4"
"True","33061","True","True","1","True","0","0","0","True","-480","-240","0","True","0","True","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","5"
"True","33062","True","True","1","True","0","0","0","True","0","-480","0.00003051758","True","0","True","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","6"
"True","33061","True","True","1","True","0","0","0","True","-480","0","0","True","0","True","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","7"
"True","33063","True","True","1","True","0","0","0","True","-480","-480","0","True","0","True","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","8"
"True","33098","True","True","1","True","0","0","0","True","240","0","-0.00003051758","True","0","True","0","0","19787","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","50542","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","9"
"True","33062","True","True","1","True","0","0","0","True","0","0","0","True","0","True","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","True","0","0","0","True","True","0","0","0","True","0","0","0","True","True","0","0","0","True","0","0","0","0","0","0","0","0","10"
