"Name","ClusterId","GroupCount","Id"
"Fields - 240","0","1","1"
"Fields - 80","1","3","2"
"Festering Woods - Left Side","2","2","3"
"Festering Woods - Right Side","28","2","4"
"Festering Woods - Center","29","2","5"
"Highlands - 240","3","1","6"
"Highlands - 80 Tier 1","4","3","7"
"Highlands - 80 Tier 2","5","1","8"
"Highlands - 80 Tier 3","27","2","9"
"Wilderness - 80","7","3","10"
"Tristram Wilderness - Road NE","9","1","11"
"Tristram_Wilderness - Road SW","10","1","12"
"Tristram Wilderness - Road EW","11","1","13"
"Tristram Highlands - River W","14","1","14"
"Tristram Highlands - Road EW","16","1","15"
"Tristram Highlands - Road NE","17","1","16"
"Tristram Highlands - Road NS","18","1","17"
"Tristram Highlands - Road SE","19","1","18"
"Tristram Highlands - Road SW","21","1","19"
"Tristram Highlands - Road NW","20","1","20"
"Old Tristram - 80","24","2","21"
"StingingWinds - 80","30","1","22"
"StingingWinds - 240","31","1","23"
"Battlefields - Bridge","32","1","24"
"Battlefields - 120","33","1","25"
"Battlefileds - 240","34","1","26"
"Oasis - Waypoint","35","1","27"
"Oasis - 80","36","1","28"
"Oasis - Ruins","37","1","29"
"Oasis - 240","38","1","30"
"Desert - Waypoint","39","1","31"
"Desert - 80","40","1","32"
"Desert - 240","41","1","33"
"Desert - ZKDungeon1","42","1","34"
"Desert - ZKDungeon2","43","1","35"
"Battlefields - Catapult","44","1","36"
"Battlefields - Ballistas","45","1","37"
