"SceneClusterId","SubSceneGroupId"
"1","1"
"2","2"
"2","3"
"2","4"
"3","47"
"4","47"
"5","7"
"5","8"
"6","9"
"7","10"
"7","11"
"7","12"
"8","13"
"9","14"
"9","15"
"10","16"
"10","17"
"10","18"
"14","19"
"21","20"
"21","21"
"11","22"
"12","23"
"13","24"
"15","25"
"16","26"
"17","27"
"18","28"
"19","29"
"20","30"
"22","31"
"23","32"
"24","33"
"25","34"
"26","35"
"27","36"
"28","37"
"29","38"
"30","39"
"31","40"
"32","41"
"33","42"
"34","43"
"35","44"
"36","45"
"37","46"
"3","5"
"4","6"
