"SNOScene","Probability","LabelCount","Id"
"33388","30","0","1"
"33389","35","0","2"
"33399","35","0","3"
"56832","60","0","4"
"33454","30","0","5"
"33448","10","0","6"
"118195","10","0","7"
"178832","10","0","8"
"80042","10","0","9"
"80370","10","0","10"
"81152","10","0","11"
"82684","10","0","12"
"81159","10","0","13"
"162684","10","0","14"
"33408","10","0","15"
"33407","10","0","16"
"33412","10","0","17"
"33403","10","0","18"
"33413","10","0","19"
"33466","10","0","20"
"108454","45","0","21"
"81894","10","0","22"
"123952","10","0","23"
"81757","10","0","24"
"160601","45","0","25"
"132991","10","0","26"
"33461","30","0","27"
"81894","30","0","28"
"132391","10","0","29"
"74402","10","0","30"
"74441","10","0","31"
"74434","10","0","32"
"74383","10","0","33"
"74419","10","0","34"
"74383","10","0","35"
"156023","10","0","36"
"74148","10","0","37"
"103249","10","0","38"
"157059","10","0","39"
"158340","10","0","40"
"103257","10","0","41"
"103268","10","0","42"
"74248","50","0","43"
"78420","50","0","44"
"74276","50","0","45"
"78798","50","0","46"
"74241","100","0","47"
"76172","33","0","48"
"83453","33","0","49"
"83395","34","0","50"
"76179","50","0","51"
"83326","50","0","52"
"76193","33","0","53"
"83286","33","0","54"
"83257","34","0","55"
"76207","50","0","56"
"83007","50","0","57"
"76214","50","0","58"
"82761","50","0","59"
"76200","50","0","60"
"83128","50","0","61"
"31678","8","0","62"
"31679","8","0","63"
"31680","8","0","64"
"31681","8","0","65"
"31684","8","0","66"
"31687","8","0","67"
"31690","8","0","68"
"31692","8","0","69"
"31694","8","0","70"
"31695","8","0","71"
"31696","8","0","72"
"165579","8","0","73"
"117865","8","0","74"
"31571","13","0","75"
"31590","13","0","76"
"31602","13","0","77"
"31603","13","0","78"
"31604","13","0","79"
"31622","13","0","80"
"31623","13","0","81"
"72696","13","0","82"
"212896","33","0","83"
"212912","33","0","84"
"212920","34","0","85"
"188349","11","0","86"
"108251","11","0","87"
"100217","100","0","88"
"104738","11","0","89"
"104748","11","0","90"
"104759","11","0","91"
"104906","11","0","92"
"105421","11","0","93"
"106158","11","0","94"
"107211","12","0","95"
"104139","33","0","96"
"105359","100","0","97"
"104406","33","0","98"
"104437","34","0","99"
"143181","100","0","100"
"57679","10","0","101"
"61828","10","0","102"
"115417","10","0","103"
"74448","10","0","104"
"74182","10","0","105"
"69479","10","0","106"
"69440","10","0","107"
"113511","10","0","108"
"72851","10","0","109"
"68275","10","0","110"
"57672","100","0","111"
"68264","20","0","112"
"68269","20","0","113"
"72760","20","0","114"
"70871","20","0","115"
"71310","20","0","116"
"143405","100","0","117"
"54511","9","0","118"
"54525","9","0","119"
"54550","9","0","120"
"54586","9","0","121"
"54592","9","0","122"
"54605","9","0","123"
"54714","9","0","124"
"54718","9","0","125"
"54751","9","0","126"
"54764","9","0","127"
"54772","9","0","128"
"132661","100","0","129"
"54316","20","0","130"
"54322","20","0","131"
"53587","20","0","132"
"53601","20","0","133"
"53610","20","0","134"
"141260","100","0","135"
"82668","10","0","136"
