"SubSceneGroupId","SubSceneEntryId"
"1","1"
"1","2"
"1","3"
"2","4"
"2","5"
"2","6"
"3","7"
"4","8"
"5","9"
"6","10"
"7","11"
"7","12"
"7","13"
"8","14"
"9","15"
"9","16"
"9","17"
"9","18"
"9","19"
"10","20"
"11","21"
"11","22"
"12","23"
"13","24"
"14","25"
"15","26"
"15","27"
"15","28"
"16","29"
"17","30"
"17","31"
"17","32"
"17","33"
"18","34"
"18","35"
"18","36"
"19","37"
"20","38"
"20","39"
"20","40"
"21","41"
"21","42"
"22","43"
"22","44"
"23","45"
"23","46"
"24","47"
"25","48"
"25","49"
"25","50"
"26","51"
"26","52"
"27","53"
"27","54"
"27","55"
"28","56"
"28","57"
"29","58"
"29","59"
"30","60"
"30","61"
"31","62"
"31","63"
"31","64"
"31","65"
"31","66"
"31","67"
"31","68"
"31","69"
"31","70"
"31","71"
"31","72"
"31","73"
"31","74"
"32","75"
"32","76"
"32","77"
"32","78"
"32","79"
"32","80"
"32","81"
"32","82"
"33","83"
"33","84"
"33","85"
"34","86"
"34","87"
"34","89"
"34","90"
"34","91"
"34","92"
"34","93"
"34","94"
"34","95"
"35","96"
"35","98"
"35","99"
"36","100"
"37","101"
"37","102"
"37","103"
"37","104"
"37","105"
"37","106"
"37","107"
"37","108"
"37","109"
"37","110"
"38","111"
"39","112"
"39","113"
"39","114"
"39","115"
"39","116"
"40","117"
"41","118"
"41","119"
"41","120"
"41","121"
"41","122"
"41","123"
"41","124"
"41","125"
"41","126"
"41","127"
"41","128"
"42","130"
"42","131"
"42","132"
"42","133"
"42","134"
"43","135"
"44","129"
"45","97"
"46","88"
"7","136"
"47","11"
"47","12"
"47","13"
