"GBId","I0","Id"
"-1927619457","10","1"
"-979681238","10","2"
"-611080158","10","3"
"-611080159","10","4"
"-449531564","10","5"
"-404968367","10","6"
"-2045153433","10","7"
"-486878894","10","8"
"-1817065063","50","9"
"1975884060","50","10"
"-260322588","10","11"
"534024603","10","12"
"1650208264","10","13"
"-1","10","14"
"105138683","10","15"
"-1","10","16"
"2091180119","10","17"
"-1761254464","10","18"
"-806885171","10","19"
"-806885171","10","20"
"879916566","10","21"
"-839477106","10","22"
"1839493555","10","23"
"-385242562","10","24"
"-1","10","25"
"1292918689","10","26"
"-843156164","10","27"
"383050633","10","28"
"946948827","10","29"
