"SNOGroup","SNOId","Name"
"TreasureClass","50979","ChampGold"
"TreasureClass","50980","Champion"
"TreasureClass","50981","ChampUtility"
"TreasureClass","50983","LootClicky_Type5_10_minute"
"TreasureClass","81324","Event_Gharbad_The_Weak"
"TreasureClass","50984","LootClicky_Type3_2_minute"
"TreasureClass","50988","LootClicky_Type2_30_seconds"
"TreasureClass","50997","DropNothing"
"TreasureClass","51001","GenericArmorQuestReward"
"TreasureClass","51002","GenericWeaponQuestReward"
"TreasureClass","86198","TemplarIntro_Squire1"
"TreasureClass","51004","LachdanansScroll"
"TreasureClass","51016","Normal"
"TreasureClass","51017","NormalGear"
"TreasureClass","51018","NormalGold"
"TreasureClass","51019","NormalUtility"
"TreasureClass","51022","PvP_Shop"
"TreasureClass","51023","PvP_Shop_Armor"
"TreasureClass","51024","PvP_Shop_Axe_2H"
"TreasureClass","51025","PvP_Shop_Boots"
"TreasureClass","51026","PvP_Shop_ChestArmor"
"TreasureClass","51027","PvP_Shop_Crossbow"
"TreasureClass","51028","PvP_Shop_Gloves"
"TreasureClass","51029","PvP_Shop_Helm"
"TreasureClass","51030","PvP_Shop_Melee"
"TreasureClass","51031","PvP_Shop_Potions"
"TreasureClass","51032","PvP_Shop_Shield"
"TreasureClass","51033","PvP_Shop_Shoulders"
"TreasureClass","51034","PvP_Shop_Sword"
"TreasureClass","77734","A1SaveBlacksmithReward"
"TreasureClass","78950","LootClicky_30_minute"
"TreasureClass","51038","DemonHunterWeapon"
"TreasureClass","51039","Rare"
"TreasureClass","51044","RareGold"
"TreasureClass","51045","RareUtility"
"TreasureClass","108086","Goatman_Lore"
"TreasureClass","51051","SkeletonKing"
"TreasureClass","51065","trDunLecturn"
"TreasureClass","51067","TreasureGoblin"
"TreasureClass","156654","OldTristram_TheDescent_LoreBook"
"TreasureClass","51070","WitchdoctorWeapon"
"TreasureClass","51071","WizardWeapon"
"TreasureClass","166387","OneGold"
"TreasureClass","154261","Lore_ArmorerVendor"
"TreasureClass","156689","OldTristram_Warriv_LoreBook"
"TreasureClass","177326","A1_GenericVendor_Collector_InTown"
"TreasureClass","177327","A1_GenericVendor_Fence_InTown"
"TreasureClass","177328","A1_GenericVendor_Miner_InTown"
"TreasureClass","202844","Lore_KingsportBill"
"TreasureClass","123959","trOut_Wagon_Mystic"
"TreasureClass","150659","SkeletonKing_FirstKill"
"TreasureClass","150663","SkeletonKing_FirstKill_Rare"
"TreasureClass","80285","Rare_Event_Tower_Of_Power"
"TreasureClass","205309","Salvage_Trinket_NoGem_Tier01"
"TreasureClass","154342","Lore_CurioVendor"
"TreasureClass","173766","MonsterDropSpellRune_Normal"
"TreasureClass","173773","MonsterDropSpellRune_N_H_I"
"TreasureClass","115539","ChampionLight"
"TreasureClass","132555","Blacksmith_Apprentice"
"TreasureClass","154432","Lore_Tinker"
"TreasureClass","79227","Hireling_Scoundrel"
"TreasureClass","199399","Lore_TinkerAmbush_Swickard"
"TreasureClass","2834","MonkWeapon"
"TreasureClass","2835","PvP_Shop_Staff"
"TreasureClass","177599","A1_GenericVendor_Collector_InTown_Weapon"
"TreasureClass","177601","A1_GenericVendor_Collector_InTown_Armor"
"TreasureClass","177602","A1_GenericVendor_Collector_InTown_Misc"
"TreasureClass","81742","Axe Bad Data"
"TreasureClass","76900","Hireling_Templar"
"TreasureClass","99959","MonsterDropGem"
"TreasureClass","99960","MonsterDropSpellRune"
"TreasureClass","99961","MonsterDropCraftingReagent"
"TreasureClass","203123","Normal_InnZombies"
"TreasureClass","99965","MonsterDropCharm"
"TreasureClass","99967","MonsterDropDye"
"TreasureClass","171582","Salvage_Rune_Alabaster_T1"
"TreasureClass","171583","Salvage_Rune_Alabaster_T2"
"TreasureClass","171584","Salvage_Rune_Alabaster_T3"
"TreasureClass","171587","Salvage_Rune_Crimson_T1"
"TreasureClass","171588","Salvage_Rune_Crimson_T2"
"TreasureClass","171589","Salvage_Rune_Crimson_T3"
