"Int0","Int1","SNOScene","Int2","TagMap_","CustomTileInfo_","CustomTileInfo_I0","CustomTileInfo_I1","CustomTileInfo_I2","CustomTileInfo_V0_","CustomTileInfo_V0_X","CustomTileInfo_V0_Y","Id"
"0","401","32936","100","True","True","0","0","0","True","0","0","1"
"12","100","32939","75","True","True","0","0","0","True","0","0","2"
"12","100","32941","100","True","True","0","0","0","True","0","0","3"
"5","100","32954","100","True","True","0","0","0","True","0","0","4"
"13","100","32951","100","True","True","0","0","0","True","0","0","5"
"3","100","32961","100","True","True","0","0","0","True","0","0","6"
"3","100","32963","100","True","True","0","0","0","True","0","0","7"
"7","100","32960","100","True","True","0","0","0","True","0","0","8"
"15","100","32958","100","True","True","0","0","0","True","0","0","9"
"11","100","1884","100","True","True","0","0","0","True","0","0","10"
"9","100","32965","100","True","True","0","0","0","True","0","0","11"
"2","200","32990","100","True","True","0","0","0","True","0","0","12"
"6","100","32982","25","True","True","0","0","0","True","0","0","13"
"14","100","32979","100","True","True","0","0","0","True","0","0","14"
"10","100","32986","100","True","True","0","0","0","True","0","0","15"
"10","100","32987","100","True","True","0","0","0","True","0","0","16"
"5","100","66589","100","True","True","0","0","0","True","0","0","17"
"4","101","32943","100","True","True","0","0","0","True","0","0","18"
"1","101","32971","100","True","True","0","0","0","True","0","0","19"
"2","101","32991","100","True","True","0","0","0","True","0","0","20"
"8","101","32999","100","True","True","0","0","0","True","0","0","21"
"4","300","174633","100","True","True","0","0","0","True","0","0","22"
"1","300","174643","100","True","True","0","0","0","True","0","0","23"
"2","300","174657","100","True","True","0","0","0","True","0","0","24"
"8","300","174663","100","True","True","0","0","0","True","0","0","25"
"12","101","67021","100","True","True","0","0","0","True","0","0","26"
"5","100","32956","100","True","True","0","0","0","True","0","0","27"
"9","100","32968","100","True","True","0","0","0","True","0","0","28"
"6","100","66925","75","True","True","0","0","0","True","0","0","29"
"0","401","32936","100","True","True","0","0","0","True","0","0","30"
"5","100","32952","100","True","True","0","0","0","True","0","0","31"
"5","100","32954","100","True","True","0","0","0","True","0","0","32"
"5","100","32956","100","True","True","0","0","0","True","0","0","33"
"13","100","32951","100","True","True","0","0","0","True","0","0","34"
"3","100","32963","20","True","True","0","0","0","True","0","0","35"
"7","100","32960","100","True","True","0","0","0","True","0","0","36"
"11","100","1884","100","True","True","0","0","0","True","0","0","37"
"9","100","32967","100","True","True","0","0","0","True","0","0","38"
"10","100","32986","100","True","True","0","0","0","True","0","0","39"
"8","300","33001","100","True","True","0","0","0","True","0","0","40"
"3","100","32964","40","True","True","0","0","0","True","0","0","41"
"10","100","32987","100","True","True","0","0","0","True","0","0","42"
"5","102","32957","100","True","True","0","0","0","True","0","0","43"
"4","101","32943","100","True","True","0","0","0","True","0","0","44"
"1","101","32971","100","True","True","0","0","0","True","0","0","45"
"2","101","32991","100","True","True","0","0","0","True","0","0","46"
"8","101","32999","100","True","True","0","0","0","True","0","0","47"
"12","101","67021","100","True","True","0","0","0","True","0","0","48"
"9","100","32968","100","True","True","0","0","0","True","0","0","49"
"4","100","32938","100","True","True","0","0","0","True","0","0","50"
"1","100","32969","100","True","True","0","0","0","True","0","0","51"
"2","100","32989","100","True","True","0","0","0","True","0","0","52"
"8","100","1886","100","True","True","0","0","0","True","0","0","53"
"6","102","32984","100","True","True","0","0","0","True","0","0","54"
"4","200","32945","100","True","True","0","0","0","True","0","0","55"
"1","200","32974","100","True","True","0","0","0","True","0","0","56"
"1","200","32975","100","True","True","0","0","0","True","0","0","57"
"2","200","32992","100","True","True","0","0","0","True","0","0","58"
"8","200","33000","100","True","True","0","0","0","True","0","0","59"
"2","300","32995","100","True","True","0","0","0","True","0","0","60"
"4","300","32947","100","True","True","0","0","0","True","0","0","61"
"6","100","66925","100","True","True","0","0","0","True","0","0","62"
"14","100","1885","100","True","True","0","0","0","True","0","0","63"
"3","100","32961","40","True","True","0","0","0","True","0","0","64"
"0","401","32936","100","True","True","0","0","0","True","0","0","65"
"4","100","32938","100","True","True","0","0","0","True","0","0","66"
"4","300","32948","100","True","True","0","0","0","True","0","0","67"
"12","100","32941","100","True","True","0","0","0","True","0","0","68"
"1","100","32969","100","True","True","0","0","0","True","0","0","69"
"1","100","32970","100","True","True","0","0","0","True","0","0","70"
"5","100","32954","100","True","True","0","0","0","True","0","0","71"
"5","100","32956","100","True","True","0","0","0","True","0","0","72"
"13","100","32951","100","True","True","0","0","0","True","0","0","73"
"3","100","32961","30","True","True","0","0","0","True","0","0","74"
"3","100","32963","30","True","True","0","0","0","True","0","0","75"
"7","100","32960","100","True","True","0","0","0","True","0","0","76"
"15","100","32958","100","True","True","0","0","0","True","0","0","77"
"11","100","1884","100","True","True","0","0","0","True","0","0","78"
"9","100","32965","100","True","True","0","0","0","True","0","0","79"
"9","100","32967","100","True","True","0","0","0","True","0","0","80"
"2","100","32989","100","True","True","0","0","0","True","0","0","81"
"2","300","32997","100","True","True","0","0","0","True","0","0","82"
"6","100","32981","100","True","True","0","0","0","True","0","0","83"
"14","100","32979","100","True","True","0","0","0","True","0","0","84"
"10","100","32985","50","True","True","0","0","0","True","0","0","85"
"10","100","32986","25","True","True","0","0","0","True","0","0","86"
"8","100","1886","100","True","True","0","0","0","True","0","0","87"
"8","300","33002","100","True","True","0","0","0","True","0","0","88"
"12","100","1883","100","True","True","0","0","0","True","0","0","89"
"3","100","32964","303","True","True","0","0","0","True","0","0","90"
"9","100","32968","100","True","True","0","0","0","True","0","0","91"
"10","100","32987","25","True","True","0","0","0","True","0","0","92"
"6","102","32984","100","True","True","0","0","0","True","0","0","93"
"8","101","32999","100","True","True","0","0","0","True","0","0","94"
"5","102","32957","100","True","True","0","0","0","True","0","0","95"
"12","200","32940","100","True","True","0","0","0","True","0","0","96"
"12","101","67021","100","True","True","0","0","0","True","0","0","97"
"5","100","66589","100","True","True","0","0","0","True","0","0","98"
"3","100","66919","10","True","True","0","0","0","True","0","0","99"
"11","100","1890","100","True","True","0","0","0","True","0","0","100"
"4","200","33057","100","True","True","0","0","0","True","0","0","101"
"0","401","33060","100","True","True","0","0","0","True","0","0","102"
"13","100","33066","100","True","True","0","0","0","True","0","0","103"
"7","100","33073","100","True","True","0","0","0","True","0","0","104"
"9","100","33077","100","True","True","0","0","0","True","0","0","105"
"9","100","33078","100","True","True","0","0","0","True","0","0","106"
"6","100","33086","100","True","True","0","0","0","True","0","0","107"
"6","100","33087","100","True","True","0","0","0","True","0","0","108"
"10","100","33091","100","True","True","0","0","0","True","0","0","109"
"10","100","33092","100","True","True","0","0","0","True","0","0","110"
"2","200","33094","100","True","True","0","0","0","True","0","0","111"
"14","100","61126","100","True","True","0","0","0","True","0","0","112"
"4","100","61403","100","True","True","0","0","0","True","0","0","113"
"2","100","61428","100","True","True","0","0","0","True","0","0","114"
"1","100","61449","100","True","True","0","0","0","True","0","0","115"
"2","200","61489","100","True","True","0","0","0","True","0","0","116"
"1","200","61567","100","True","True","0","0","0","True","0","0","117"
"8","200","61650","100","True","True","0","0","0","True","0","0","118"
"5","100","33068","100","True","True","0","0","0","True","0","0","119"
"5","100","33070","100","True","True","0","0","0","True","0","0","120"
"8","100","61237","100","True","True","0","0","0","True","0","0","121"
"15","101","82768","100","True","True","0","0","0","True","0","0","122"
"15","100","33071","100","True","True","0","0","0","True","0","0","123"
"15","100","61748","100","True","True","0","0","0","True","0","0","124"
"12","102","82107","100","True","True","0","0","0","True","0","0","125"
"4","300","175016","100","True","True","0","0","0","True","0","0","126"
"1","300","175018","100","True","True","0","0","0","True","0","0","127"
"2","300","175020","100","True","True","0","0","0","True","0","0","128"
"8","300","175021","100","True","True","0","0","0","True","0","0","129"
"11","100","1890","100","True","True","0","0","0","True","0","0","130"
"12","100","33051","100","True","True","0","0","0","True","0","0","131"
"12","100","33054","100","True","True","0","0","0","True","0","0","132"
"0","401","33060","100","True","True","0","0","0","True","0","0","133"
"13","100","33066","100","True","True","0","0","0","True","0","0","134"
"5","100","33068","100","True","True","0","0","0","True","0","0","135"
"5","100","33070","100","True","True","0","0","0","True","0","0","136"
"7","100","33073","100","True","True","0","0","0","True","0","0","137"
"3","100","33075","100","True","True","0","0","0","True","0","0","138"
"3","100","33076","100","True","True","0","0","0","True","0","0","139"
"9","100","33077","100","True","True","0","0","0","True","0","0","140"
"9","100","33078","100","True","True","0","0","0","True","0","0","141"
"6","100","33086","100","True","True","0","0","0","True","0","0","142"
"6","100","33087","100","True","True","0","0","0","True","0","0","143"
"10","100","33091","100","True","True","0","0","0","True","0","0","144"
"10","100","33092","100","True","True","0","0","0","True","0","0","145"
"14","100","61126","100","True","True","0","0","0","True","0","0","146"
"8","100","61237","100","True","True","0","0","0","True","0","0","147"
"4","100","61403","100","True","True","0","0","0","True","0","0","148"
"2","100","61428","100","True","True","0","0","0","True","0","0","149"
"1","100","61449","100","True","True","0","0","0","True","0","0","150"
"4","200","33057","100","True","True","0","0","0","True","0","0","151"
"1","200","61567","100","True","True","0","0","0","True","0","0","152"
"2","200","33094","100","True","True","0","0","0","True","0","0","153"
"2","200","61489","100","True","True","0","0","0","True","0","0","154"
"8","200","61650","100","True","True","0","0","0","True","0","0","155"
"4","300","175016","100","True","True","0","0","0","True","0","0","156"
"1","300","175018","100","True","True","0","0","0","True","0","0","157"
"2","300","175020","100","True","True","0","0","0","True","0","0","158"
"8","300","175021","100","True","True","0","0","0","True","0","0","159"
"0","401","32936","100","True","True","0","0","0","True","0","0","160"
"1","100","32970","100","True","True","0","0","0","True","0","0","161"
"6","100","32982","100","True","True","0","0","0","True","0","0","162"
"10","100","32985","100","True","True","0","0","0","True","0","0","163"
"4","200","32944","100","True","True","0","0","0","True","0","0","164"
"9","100","32965","100","True","True","0","0","0","True","0","0","165"
"4","201","33057","100","True","True","0","0","0","True","0","0","166"
