"Id","Percentage","I0","LootDropModifiersCount"
"2834","0","0","2"
"2835","0","1","3"
"50945","0","0","6"
"50946","0","1","2"
"50948","0","0","7"
"50949","0","0","3"
"50950","0","0","11"
"50951","0.33","1","1"
"50952","0","0","8"
"50979","0","1","4"
"50980","0","1","4"
"50981","0","1","3"
"50983","0","1","8"
"50984","0","1","5"
"50988","0","1","3"
"50997","0","1","0"
"51001","0","0","1"
"51002","0","0","5"
"51004","0","1","6"
"51016","0.65","0","1"
"51017","0","0","3"
"51018","0","1","1"
"51019","0","0","9"
"51022","0","1","3"
"51023","0","1","6"
"51024","0","1","3"
"51025","0","1","3"
"51026","0","1","3"
"51027","0","1","3"
"51028","0","1","3"
"51029","0","1","3"
"51030","0","1","4"
"51031","0","1","2"
"51032","0","1","3"
"51033","0","1","3"
"51034","0","1","3"
"51038","0","0","1"
"51039","0","1","4"
"51044","0","1","5"
"51045","0","1","5"
"51051","0","1","7"
"51065","0","1","8"
"51067","0","1","4"
"51070","0","0","2"
"51071","0","0","3"
"61483","0","1","2"
"62990","0","0","1"
"71092","0","1","2"
"71093","0","1","2"
"71094","0","1","2"
"71095","0","1","3"
"71244","0","0","2"
"71245","0","0","2"
"76900","0","1","2"
"77529","0","1","2"
"77734","0","1","2"
"78950","0","1","4"
"79227","0","1","1"
"79531","0","1","1"
"79532","0","1","1"
"80285","0","1","7"
"81324","0","1","1"
"81742","0","1","0"
"81848","0","1","13"
"81869","0","1","1"
"82409","0","1","13"
"82411","0","1","4"
"82414","0","1","3"
"82417","0","1","2"
"86198","0","1","1"
"86819","0","1","7"
"91541","0","0","10"
"92169","0","1","1"
"95473","0","1","5"
"98898","0","1","1"
"99959","0","1","1"
"99960","0","1","2"
"99961","0","1","1"
"99965","0","1","1"
"99967","0","1","1"
"104057","0","1","1"
"104249","0","1","1"
"105500","0","1","3"
"106059","0","1","3"
"108086","0","1","3"
"110942","0","1","5"
"114647","0","0","3"
"115125","0","1","2"
"115539","0","1","3"
"120129","0","0","3"
"123959","0","1","1"
"129246","0","1","5"
"129262","0","1","5"
"132555","0","1","6"
"145440","0","0","2"
"150659","0","1","10"
"150663","0","0","12"
"151131","0","0","2"
"152793","0","1","6"
"154024","0","0","2"
"154261","0","1","2"
"154342","0","0","2"
"154432","0","0","2"
"156439","0","1","2"
"156654","0","1","3"
"156689","0","1","3"
"157453","0","1","1"
"158292","0","1","2"
"158674","0","1","1"
"162319","0","1","1"
"162325","0","0","3"
"166387","0","1","1"
"168110","0","1","1"
"168114","0","0","2"
"168119","0","0","2"
"168126","0","1","1"
"168127","0","0","2"
"168129","0","0","2"
"168133","0","0","2"
"168135","0","0","2"
"170480","0","0","1"
"170874","0","1","1"
"171582","0","0","1"
"171583","0","0","2"
"171584","0","0","3"
"171587","0","0","1"
"171588","0","0","2"
"171589","0","0","3"
"171591","0","0","1"
"171592","0","0","2"
"171593","0","0","3"
"171594","0","0","1"
"171595","0","0","2"
"171596","0","0","3"
"171597","0","0","1"
"171598","0","0","2"
"171599","0","0","3"
"171708","0","0","2"
"171724","0","0","4"
"171725","0","0","3"
"171726","0","0","3"
"171727","0","0","2"
"171728","0","0","1"
"171735","0","0","3"
"171736","0","0","3"
"171737","0","0","2"
"171738","0","0","1"
"171745","0","0","3"
"171746","0","0","3"
"171747","0","0","2"
"171748","0","0","1"
"171766","0","0","3"
"171767","0","0","3"
"171768","0","0","2"
"171769","0","0","1"
"171776","0","0","4"
"171777","0","0","4"
"171778","0","0","4"
"171785","0","0","2"
"171786","0","0","2"
"171787","0","0","2"
"173766","0","1","1"
"173773","0","1","1"
"174240","0","1","1"
"177326","0","1","5"
"177327","0","1","5"
"177328","0","1","3"
"177599","0","1","3"
"177601","0","1","12"
"177602","0","1","2"
"177864","0","1","4"
"177865","0","1","3"
"177866","0","1","2"
"177867","0","1","8"
"177868","0","1","9"
"178086","0","1","1"
"180255","0","1","11"
"181655","0","0","2"
"181656","0","0","2"
"181657","0","0","2"
"181658","0","0","2"
"181659","0","0","2"
"181662","0","0","2"
"181664","0","0","2"
"181665","0","0","2"
"181666","0","0","2"
"181667","0","0","2"
"181668","0","0","2"
"181669","0","0","2"
"181670","0","0","2"
"181672","0","0","2"
"181675","0","0","2"
"181676","0","0","2"
"181677","0","0","2"
"181678","0","0","2"
"181679","0","0","2"
"181685","0","0","2"
"181686","0","0","2"
"181687","0","0","2"
"181688","0","0","2"
"181689","0","0","2"
"181690","0","0","2"
"181691","0","0","2"
"181740","0","0","2"
"181741","0","0","2"
"181758","0","1","2"
"181977","0.8","1","2"
"183158","0","0","3"
"183159","0","0","3"
"183160","0","0","3"
"183161","0","0","3"
"183162","0","0","3"
"183163","0","0","3"
"183164","0","0","3"
"183165","0","0","3"
"183166","0","0","3"
"183167","0","0","3"
"183168","0","0","3"
"183169","0","0","3"
"183170","0","0","3"
"183171","0","0","3"
"183174","0","0","3"
"183175","0","0","3"
"183177","0","0","3"
"183179","0","0","3"
"183180","0","0","3"
"183185","0","0","3"
"183188","0","0","3"
"183978","0","1","11"
"183979","0","1","2"
"183980","0","1","4"
"183981","0","1","3"
"183984","0","1","8"
"183993","0","1","9"
"183995","0","1","8"
"184010","0","1","12"
"184013","0","1","4"
"184014","0","1","4"
"184225","0","0","3"
"184226","0","0","3"
"184227","0","0","3"
"184229","0","0","3"
"184230","0","0","3"
"184231","0","0","3"
"184361","0","1","3"
"184362","0","1","4"
"187674","0","1","2"
"189883","0","1","1"
"189889","0","1","1"
"189976","0","0","1"
"190036","0","0","1"
"190037","0","0","1"
"190038","0","0","1"
"190039","0","0","1"
"195319","0","1","2"
"196447","0","1","1"
"199399","0","0","2"
"199604","0","1","1"
"202844","0","1","1"
"203123","0","1","1"
"205309","0","0","1"
"205928","0","0","3"
"205929","0","0","11"
"205930","0","0","14"
