"TreasureClassId","LootDropModifierId"
"50979","1"
"50979","2"
"50979","3"
"50979","4"
"50980","5"
"50980","6"
"50980","7"
"50980","8"
"50981","9"
"50981","10"
"50981","11"
"50983","12"
"50983","13"
"50983","14"
"50983","15"
"50983","16"
"50983","17"
"50983","18"
"50983","19"
"81324","20"
"50984","21"
"50984","22"
"50984","23"
"50984","24"
"50984","25"
"50988","26"
"50988","27"
"50988","28"
"51001","29"
"51002","30"
"51002","31"
"51002","32"
"51002","33"
"51002","34"
"86198","35"
"51004","36"
"51004","37"
"51004","38"
"51004","39"
"51004","40"
"51004","41"
"51016","42"
"51017","43"
"51017","44"
"51017","45"
"51018","46"
"51019","47"
"51019","48"
"51019","49"
"51019","50"
"51019","51"
"51019","52"
"51019","53"
"51019","54"
"51019","55"
"51022","56"
"51022","57"
"51022","58"
"51023","59"
"51023","60"
"51023","61"
"51023","62"
"51023","63"
"51023","64"
"51024","65"
"51024","66"
"51024","67"
"51025","68"
"51025","69"
"51025","70"
"51026","71"
"51026","72"
"51026","73"
"51027","74"
"51027","75"
"51027","76"
"51028","77"
"51028","78"
"51028","79"
"51029","80"
"51029","81"
"51029","82"
"51030","83"
"51030","84"
"51030","85"
"51030","86"
"51031","87"
"51031","88"
"51032","89"
"51032","90"
"51032","91"
"51033","92"
"51033","93"
"51033","94"
"51034","95"
"51034","96"
"51034","97"
"77734","98"
"77734","99"
"78950","100"
"78950","101"
"78950","102"
"78950","103"
"51038","104"
"51039","105"
"51039","106"
"51039","107"
"51039","108"
"51044","109"
"51044","110"
"51044","111"
"51044","112"
"51044","113"
"51045","114"
"51045","115"
"51045","116"
"51045","117"
"51045","118"
"108086","119"
"108086","120"
"108086","121"
"51051","122"
"51051","123"
"51051","124"
"51051","125"
"51051","126"
"51051","127"
"51051","128"
"51065","129"
"51065","130"
"51065","131"
"51065","132"
"51065","133"
"51065","134"
"51065","135"
"51065","136"
"51067","137"
"51067","138"
"51067","139"
"51067","140"
"156654","141"
"156654","142"
"156654","143"
"51070","144"
"51070","145"
"51071","146"
"51071","147"
"51071","148"
"166387","149"
"154261","150"
"154261","151"
"156689","152"
"156689","153"
"156689","154"
"177326","155"
"177326","156"
"177326","157"
"177326","158"
"177326","159"
"177327","160"
"177327","161"
"177327","162"
"177327","163"
"177327","164"
"177328","165"
"177328","166"
"177328","167"
"202844","168"
"123959","169"
"150659","170"
"150659","171"
"150659","172"
"150659","173"
"150659","174"
"150659","175"
"150659","176"
"150659","177"
"150659","178"
"150659","179"
"150663","180"
"150663","181"
"150663","182"
"150663","183"
"150663","184"
"150663","185"
"150663","186"
"150663","187"
"150663","188"
"150663","189"
"150663","190"
"150663","191"
"80285","192"
"80285","193"
"80285","194"
"80285","195"
"80285","196"
"80285","197"
"80285","198"
"205309","199"
"154342","200"
"154342","201"
"173766","202"
"173773","203"
"115539","204"
"115539","205"
"115539","206"
"132555","207"
"132555","208"
"132555","209"
"132555","210"
"132555","211"
"132555","212"
"154432","213"
"154432","214"
"79227","215"
"199399","216"
"199399","217"
"2834","218"
"2834","219"
"2835","220"
"2835","221"
"2835","222"
"177599","223"
"177599","224"
"177599","225"
"177601","226"
"177601","227"
"177601","228"
"177601","229"
"177601","230"
"177601","231"
"177601","232"
"177601","233"
"177601","234"
"177601","235"
"177601","236"
"177601","237"
"177602","238"
"177602","239"
"76900","240"
"76900","241"
"99959","242"
"99960","243"
"99960","244"
"99961","245"
"203123","246"
"99965","247"
"99967","248"
"171582","249"
"171583","250"
"171583","251"
"171584","252"
"171584","253"
"171584","254"
"171587","255"
"171588","256"
"171588","257"
"171589","258"
"171589","259"
"171589","260"
"171591","261"
"171592","262"
"171592","263"
"171593","264"
"171593","265"
"171593","266"
"171594","267"
"171595","268"
"171595","269"
"106059","270"
"106059","271"
"106059","272"
"171596","273"
"171596","274"
"171596","275"
"171597","276"
"171598","277"
"171598","278"
"171599","279"
"171599","280"
"171599","281"
"110942","282"
"110942","283"
"110942","284"
"110942","285"
"110942","286"
"91541","287"
"91541","288"
"91541","289"
"91541","290"
"91541","291"
"91541","292"
"91541","293"
"91541","294"
"91541","295"
"91541","296"
"158292","297"
"158292","298"
"81848","299"
"81848","300"
"81848","301"
"81848","302"
"81848","303"
"81848","304"
"81848","305"
"81848","306"
"81848","307"
"81848","308"
"81848","309"
"81848","310"
"81848","311"
"81869","312"
"189883","313"
"189889","314"
"114647","315"
"114647","316"
"114647","317"
"199604","318"
"170480","319"
"171708","320"
"171708","321"
"98898","322"
"129246","323"
"129246","324"
"129246","325"
"129246","326"
"129246","327"
"171724","328"
"171724","329"
"171724","330"
"171724","331"
"171725","332"
"171725","333"
"171725","334"
"171726","335"
"171726","336"
"171726","337"
"171727","338"
"171727","339"
"171728","340"
"171735","341"
"171735","342"
"171735","343"
"171736","344"
"171736","345"
"171736","346"
"171737","347"
"171737","348"
"171738","349"
"129262","350"
"129262","351"
"129262","352"
"129262","353"
"129262","354"
"171745","355"
"171745","356"
"171745","357"
"171746","358"
"171746","359"
"171746","360"
"171747","361"
"171747","362"
"171748","363"
"168110","364"
"168114","365"
"168114","366"
"180255","367"
"180255","368"
"180255","369"
"180255","370"
"180255","371"
"180255","372"
"180255","373"
"180255","374"
"180255","375"
"180255","376"
"180255","377"
"168119","378"
"168119","379"
"151131","380"
"151131","381"
"171766","382"
"171766","383"
"171766","384"
"79531","385"
"168126","386"
"171767","387"
"171767","388"
"171767","389"
"79532","390"
"168127","391"
"168127","392"
"171768","393"
"171768","394"
"171769","395"
"168129","396"
"168129","397"
"189976","398"
"86819","399"
"86819","400"
"86819","401"
"86819","402"
"86819","403"
"86819","404"
"86819","405"
"168133","406"
"168133","407"
"168135","408"
"168135","409"
"171776","410"
"171776","411"
"171776","412"
"171776","413"
"171777","414"
"171777","415"
"171777","416"
"171777","417"
"171778","418"
"171778","419"
"171778","420"
"171778","421"
"171785","422"
"171785","423"
"171786","424"
"171786","425"
"171787","426"
"171787","427"
"177864","428"
"177864","429"
"177864","430"
"177864","431"
"177865","432"
"177865","433"
"177865","434"
"177866","435"
"177866","436"
"177867","437"
"177867","438"
"177867","439"
"177867","440"
"177867","441"
"177867","442"
"177867","443"
"177867","444"
"177868","445"
"177868","446"
"177868","447"
"177868","448"
"177868","449"
"177868","450"
"177868","451"
"177868","452"
"177868","453"
"174240","454"
"71092","455"
"71092","456"
"71093","457"
"71093","458"
"71094","459"
"71094","460"
"71095","461"
"71095","462"
"71095","463"
"190036","464"
"190037","465"
"190038","466"
"190039","467"
"183978","468"
"183978","469"
"183978","470"
"183978","471"
"183978","472"
"183978","473"
"183978","474"
"183978","475"
"183978","476"
"183978","477"
"183978","478"
"183979","479"
"183979","480"
"183980","481"
"183980","482"
"183980","483"
"183980","484"
"183981","485"
"183981","486"
"183981","487"
"183984","488"
"183984","489"
"183984","490"
"183984","491"
"183984","492"
"183984","493"
"183984","494"
"183984","495"
"183993","496"
"183993","497"
"183993","498"
"183993","499"
"183993","500"
"183993","501"
"183993","502"
"183993","503"
"183993","504"
"183995","505"
"183995","506"
"183995","507"
"183995","508"
"183995","509"
"183995","510"
"183995","511"
"183995","512"
"184010","513"
"184010","514"
"184010","515"
"184010","516"
"184010","517"
"184010","518"
"184010","519"
"184010","520"
"184010","521"
"184010","522"
"184010","523"
"184010","524"
"184013","525"
"184013","526"
"184013","527"
"184013","528"
"184014","529"
"184014","530"
"184014","531"
"184014","532"
"187674","533"
"187674","534"
"61483","535"
"61483","536"
"95473","537"
"95473","538"
"95473","539"
"95473","540"
"95473","541"
"181655","542"
"181655","543"
"205928","544"
"205928","545"
"205928","546"
"181656","547"
"181656","548"
"205929","549"
"205929","550"
"205929","551"
"205929","552"
"205929","553"
"205929","554"
"205929","555"
"205929","556"
"205929","557"
"205929","558"
"205929","559"
"181657","560"
"181657","561"
"205930","562"
"205930","563"
"205930","564"
"205930","565"
"205930","566"
"205930","567"
"205930","568"
"205930","569"
"205930","570"
"205930","571"
"205930","572"
"205930","573"
"205930","574"
"205930","575"
"181658","576"
"181658","577"
"181659","578"
"181659","579"
"181662","580"
"181662","581"
"181664","582"
"181664","583"
"181665","584"
"181665","585"
"181666","586"
"181666","587"
"181667","588"
"181667","589"
"181668","590"
"181668","591"
"181669","592"
"181669","593"
"181670","594"
"181670","595"
"181672","596"
"181672","597"
"181675","598"
"181675","599"
"181676","600"
"181676","601"
"181677","602"
"181677","603"
"181678","604"
"181678","605"
"181679","606"
"181679","607"
"71244","608"
"71244","609"
"181685","610"
"181685","611"
"71245","612"
"71245","613"
"181686","614"
"181686","615"
"181687","616"
"181687","617"
"181688","618"
"181688","619"
"181689","620"
"181689","621"
"181690","622"
"181690","623"
"181691","624"
"181691","625"
"157453","626"
"178086","627"
"104057","628"
"158674","629"
"162319","630"
"181740","631"
"181740","632"
"181741","633"
"181741","634"
"162325","635"
"162325","636"
"162325","637"
"181758","638"
"181758","639"
"170874","640"
"184225","641"
"184225","642"
"184225","643"
"184226","644"
"184226","645"
"184226","646"
"184227","647"
"184227","648"
"184227","649"
"184229","650"
"184229","651"
"184229","652"
"184230","653"
"184230","654"
"184230","655"
"184231","656"
"184231","657"
"184231","658"
"145440","659"
"145440","660"
"115125","661"
"115125","662"
"196447","663"
"77529","664"
"77529","665"
"152793","666"
"152793","667"
"152793","668"
"152793","669"
"152793","670"
"152793","671"
"104249","672"
"156439","673"
"156439","674"
"62990","675"
"82409","676"
"82409","677"
"82409","678"
"82409","679"
"82409","680"
"82409","681"
"82409","682"
"82409","683"
"82409","684"
"82409","685"
"82409","686"
"82409","687"
"82409","688"
"82411","689"
"82411","690"
"82411","691"
"82411","692"
"82414","693"
"82414","694"
"82414","695"
"184361","696"
"184361","697"
"184361","698"
"82417","699"
"82417","700"
"184362","701"
"184362","702"
"184362","703"
"184362","704"
"154024","705"
"154024","706"
"183158","707"
"183158","708"
"183158","709"
"183159","710"
"183159","711"
"183159","712"
"183160","713"
"183160","714"
"183160","715"
"183161","716"
"183161","717"
"183161","718"
"183162","719"
"183162","720"
"183162","721"
"183163","722"
"183163","723"
"183163","724"
"183164","725"
"183164","726"
"183164","727"
"183165","728"
"183165","729"
"183165","730"
"183166","731"
"183166","732"
"183166","733"
"183167","734"
"183167","735"
"183167","736"
"183168","737"
"183168","738"
"183168","739"
"183169","740"
"183169","741"
"183169","742"
"183170","743"
"183170","744"
"183170","745"
"183171","746"
"183171","747"
"183171","748"
"105500","749"
"105500","750"
"105500","751"
"183174","752"
"183174","753"
"183174","754"
"183175","755"
"183175","756"
"183175","757"
"183177","758"
"183177","759"
"183177","760"
"183179","761"
"183179","762"
"183179","763"
"183180","764"
"183180","765"
"183180","766"
"195319","767"
"195319","768"
"183185","769"
"183185","770"
"183185","771"
"183188","772"
"183188","773"
"183188","774"
"181977","775"
"181977","776"
"92169","777"
"50945","778"
"50945","779"
"50945","780"
"50945","781"
"50945","782"
"50945","783"
"50946","784"
"50946","785"
"50948","786"
"50948","787"
"50948","788"
"50948","789"
"50948","790"
"50948","791"
"50948","792"
"50949","793"
"50949","794"
"50949","795"
"50950","796"
"50950","797"
"50950","798"
"50950","799"
"50950","800"
"50950","801"
"50950","802"
"50950","803"
"50950","804"
"50950","805"
"50950","806"
"50951","807"
"50952","808"
"50952","809"
"50952","810"
"50952","811"
"50952","812"
"50952","813"
"50952","814"
"50952","815"
"120129","816"
"120129","817"
"120129","818"
