"WorldId","SceneClusterId"
"71150","1"
"71150","2"
"71150","3"
"71150","4"
"71150","5"
"71150","6"
"71150","7"
"71150","8"
"71150","9"
"71150","10"
"71150","11"
"71150","12"
"71150","13"
"71150","14"
"71150","15"
"71150","16"
"71150","17"
"71150","18"
"71150","19"
"71150","20"
"71150","21"
"70885","22"
"70885","23"
"95804","24"
"95804","25"
"95804","26"
"70885","27"
"70885","28"
"70885","29"
"70885","30"
"70885","31"
"70885","32"
"70885","33"
"70885","34"
"70885","35"
"95804","36"
"95804","37"
